Name,Year,Conference,points,points_avg,fg_made,fg_attempted,fg_pct,ft_made,ft_attempted,ft_pct,threefg_made,threefg_attempted,threefg_pct,rebounds_total,rebounds_total_avg,rebounds_offensive,rebounds_offensive_avg,rebounds_defensive,rebounds_defensive_avg,assists,assists_avg,assist_turnover_ratio,assist_pct,turnovers,turnovers_avg,turnover_pct,steals,steals_avg,steal_pct,blocks,blocks_avg,block_pct,fouls,fouls_avg,dqs,possessions,possessions_avg,points_possession_avg,floor_pct,efficiency,effective_fg_pct,true_shooting_pct,ft_rate_pct,fg_dist_pct,Seeds,Game Region,Game ID,Unique Game ID,Round 1 game score,R1 Class 1=win
Liberty,2003 2004,Big South,2284,69.2,819,1913,42.8,440,651,67.6,206,670,30.7,1235,37.4,441,13.4,794,24.1,461,14,0.9,56.2,528,16,22.8,292,8.8,12.6,104,3.2,5.4,641,19.4,10,2311,70,1,51.6,98.8,48.1,51.3,34,71.7,16,East,E1,2004E1,63,0
St. Joseph's (PA),2003 2004,A-10,2476,77.4,866,1822,47.5,431,614,70.2,313,775,40.4,1043,32.6,308,9.6,735,23,522,16.3,1.4,60.2,371,11.6,17,291,9.1,13.3,110,3.4,6.1,545,17,3,2175,68,1.1,53.5,113.8,56.1,58.5,33.6,69.9,1,East,E1,2004E1,82,1
Charlotte,2003 2004,C-USA,2374,79.1,812,1805,45,518,798,64.9,232,682,34,1220,40.7,441,14.7,779,26,484,16.1,1.1,59.6,458,15.3,20.8,264,8.8,12,90,3,4.9,568,18.9,9,2200,73.3,1.1,55.3,107.9,51.4,54.3,44.2,68.4,9,East,E2,2004E2,73,0
Texas Tech,2003 2004,Big 12,2490,73.2,922,1982,46.5,521,703,74.1,125,371,33.7,1153,33.9,385,11.3,768,22.6,505,14.9,1.2,54.7,424,12.5,17.9,278,8.2,11.7,117,3.4,6,562,16.5,10,2356,69.3,1.1,54.3,105.7,49.6,53.7,35.4,74,8,East,E2,2004E2,76,1
Florida,2003 2004,SEC,2369,76.4,829,1719,48.2,462,616,75,249,661,37.7,1081,34.9,311,10,770,24.8,492,15.9,1.1,59.3,454,14.6,21.2,200,6.5,9.3,98,3.2,5.4,584,18.8,14,2141,69.1,1.1,52.4,110.6,55.4,58.8,35.8,69.9,5,East,E3,2004E3,60,0
Manhattan,2003 2004,MAAC,2311,74.5,762,1724,44.2,607,798,76.1,180,489,36.8,1079,34.8,374,12.1,705,22.7,338,10.9,0.9,44.3,395,12.7,18.6,287,9.3,13.5,128,4.1,7.8,633,20.4,6,2121,68.4,1.1,53.6,109,49.4,54.9,46.2,65.9,12,East,E3,2004E3,75,1
Virginia Commonwealth,2003 2004,CAA,2202,71,811,1707,47.5,372,614,60.6,208,530,39.2,1159,37.4,377,12.2,782,25.2,407,13.1,0.8,50.1,510,16.5,23.9,209,6.7,9.8,120,3.9,6.7,549,17.7,12,2127,68.6,1,53.5,103.5,53.6,55,35.9,73.6,13,East,E4,2004E4,78,0
Wake Forest,2003 2004,ACC,2590,83.5,882,1854,47.6,590,829,71.2,236,611,38.6,1148,37,417,13.5,731,23.6,487,15.7,1.1,55.2,457,14.7,19.9,277,8.9,12,95,3.1,5.2,639,20.6,20,2296,74.1,1.1,56.2,112.8,53.9,57.6,44.7,68.1,4,East,E4,2004E4,79,1
UCF,2003 2004,Atlantic Sun,2181,70.4,792,1732,45.7,365,510,71.6,232,658,35.3,1129,36.4,382,12.3,747,24.1,520,16.8,1.1,65.6,473,15.3,22.8,279,9,13.4,141,4.5,8.5,572,18.5,8,2072,66.8,1.1,53.2,105.3,52.4,55.2,29.4,72.6,14,East,E5,2004E5,44,0
Pittsburgh,2003 2004,Big East,2446,67.9,904,1921,47.1,488,747,65.3,150,490,30.6,1320,36.7,466,12.9,854,23.7,523,14.5,1.2,57.8,454,12.6,20.2,215,6,9.5,169,4.7,8.5,533,14.8,5,2247,62.4,1.1,57.6,108.9,50.9,53.7,38.8,73.9,3,East,E5,2004E5,53,1
Richmond,2003 2004,A-10,2129,64.5,737,1793,41.1,467,648,72.1,188,607,31,1164,35.3,396,12,768,23.3,406,12.3,0.9,55,432,13.1,20.2,235,7.1,11,143,4.3,8.2,617,18.7,9,2134,64.7,1,50.9,99.8,46.3,50.6,36.1,69.2,11,East,E6,2004E6,64,0
Wisconsin,2003 2004,Big Ten,2190,68.4,754,1687,44.7,492,684,71.9,190,564,33.7,1049,32.8,356,11.1,693,21.7,425,13.3,1.3,56.3,320,10,16.2,220,6.9,11.1,90,2.8,5.6,493,15.4,2,1975,61.7,1.1,55.3,110.9,50.3,54.4,40.5,68.8,6,East,E6,2004E6,76,1
South Carolina,2003 2004,SEC,2383,70.1,846,1948,43.4,465,690,67.4,226,691,32.7,1224,36,423,12.4,801,23.6,499,14.7,1.1,58.9,448,13.2,19.4,300,8.8,13,177,5.2,9.2,608,17.9,14,2298,67.6,1,52.9,103.7,49.2,52.3,35.4,71,10,East,E7,2004E7,43,0
Memphis,2003 2004,C-USA,2172,72.4,736,1751,42,441,671,65.7,259,722,35.9,1139,38,402,13.4,737,24.6,425,14.2,1.1,57.7,383,12.8,18.6,218,7.3,10.6,150,5,9.1,540,18,11,2054,68.5,1.1,53.3,105.7,49.4,52.4,38.3,67.7,7,East,E7,2004E7,59,1
Eastern Washington,2003 2004,Big Sky,2102,70.1,747,1574,47.5,429,608,70.6,179,488,36.7,918,30.6,279,9.3,639,21.3,480,16,1.1,64.2,453,15.1,22.2,192,6.4,9.4,49,1.6,3.1,604,20.1,15,2035,67.8,1,50.6,103.3,53.1,56.4,38.6,71,15,East,E8,2004E8,56,0
Oklahoma State,2003 2004,Big 12,2698,77.1,1002,1953,51.3,528,760,69.5,166,441,37.6,1253,35.8,405,11.6,848,24.2,561,16,1.2,55.9,468,13.4,19.7,271,7.7,11.4,128,3.7,6.6,655,18.7,16,2369,67.7,1.1,58.1,113.9,55.5,58.2,38.9,74.2,2,East,E8,2004E8,75,1
Florida A&M,2003 2004,MEAC,2311,72.2,747,1802,41.5,546,771,70.8,271,782,34.7,1092,34.1,374,11.7,718,22.4,405,12.7,0.8,54.2,537,16.8,22.9,271,8.5,11.5,51,1.6,2.8,691,21.6,22,2338,73.1,1,47.9,98.8,48.9,53.2,42.7,64.6,16,Midwest,MW1,2004MW1,76,0
Kentucky,2003 2004,SEC,2365,73.9,862,1828,47.2,437,627,69.7,204,572,35.7,1158,36.2,387,12.1,771,24.1,504,15.8,1.1,58.4,468,14.6,21.2,249,7.8,11.3,110,3.4,6.2,584,18.3,4,2202,68.8,1.1,54.3,107.4,52.7,55.6,34.2,72.8,1,Midwest,MW1,2004MW1,96,1
Washington,2003 2004,Pac 12,2543,82,890,1911,46.6,562,788,71.3,201,569,35.3,1103,35.6,382,12.3,721,23.3,501,16.2,1.1,56.2,472,15.2,19.8,226,7.3,9.5,91,2.9,4.8,667,21.5,25,2372,76.5,1.1,53.3,107.2,51.8,55.6,41.2,69.9,8,Midwest,MW2,2004MW2,100,0
UAB,2003 2004,C-USA,2414,75.4,882,2006,44,437,656,66.6,213,646,33,1119,35,401,12.5,718,22.4,564,17.6,1.3,63.9,431,13.5,18.3,371,11.6,15.8,115,3.6,6.5,679,21.2,12,2346,73.3,1,52.6,102.9,49.2,52,32.7,73,9,Midwest,MW2,2004MW2,102,1
Providence,2003 2004,Big East,2060,71,717,1592,45,398,553,72,228,629,36.2,976,33.7,342,11.8,634,21.9,457,15.8,1.1,63.7,433,14.9,22.3,264,9.1,13.6,143,4.9,8.7,469,16.2,11,1939,66.9,1.1,52.2,106.2,52.1,55.5,34.7,69.6,5,Midwest,MW3,2004MW3,58,0
Pacific,2003 2004,Big West,2272,68.8,764,1633,46.8,549,746,73.6,195,546,35.7,1101,33.4,304,9.2,797,24.2,478,14.5,1,62.5,471,14.3,21.8,194,5.9,8.9,103,3.1,5.5,561,17,4,2157,65.4,1.1,50.7,105.3,52.7,57.1,45.6,67.2,12,Midwest,MW3,2004MW3,66,1
UIC,2003 2004,Horizon,2223,69.5,810,1797,45.1,445,700,63.6,158,410,38.5,1125,35.2,423,13.2,702,21.9,468,14.6,1.2,57.7,405,12.7,19.1,247,7.7,11.6,85,2.7,5.1,572,17.9,10,2114,66.1,1.1,55.9,105.2,49.4,52.1,38.9,72.8,13,Midwest,MW4,2004MW4,53,0
Kansas,2003 2004,Big 12,2503,75.8,895,1923,46.5,525,743,70.7,188,562,33.5,1303,39.5,409,12.4,894,27.1,572,17.3,1.2,63.9,485,14.7,20.7,232,7,9.9,165,5,8.4,659,20,16,2342,71,1.1,54.1,106.9,51.4,54.9,38.6,71.5,4,Midwest,MW4,2004MW4,78,1
Northern Iowa,2003 2004,Missouri Valley,2147,69.3,723,1644,44,478,648,73.8,223,630,35.4,1068,34.5,268,8.6,800,25.8,410,13.2,1.1,56.7,388,12.5,18.7,165,5.3,7.9,63,2,3.5,517,16.7,6,2066,66.6,1,48.7,103.9,50.7,55,39.4,67.3,14,Midwest,MW5,2004MW5,60,0
Georgia Tech,2003 2004,ACC,2911,76.6,1029,2213,46.5,586,847,69.2,267,729,36.6,1422,37.4,429,11.3,993,26.1,579,15.2,1,56.2,578,15.2,20.8,338,8.9,12.1,172,4.5,7.7,794,20.9,20,2771,72.9,1.1,52.2,105.1,52.5,55.6,38.2,70.6,3,Midwest,MW5,2004MW5,65,1
Utah,2003 2004,Mountain West,2134,64.7,768,1630,47.1,402,556,72.3,196,506,38.7,1140,34.5,355,10.8,785,23.8,426,12.9,0.9,55.4,463,14,23.2,146,4.4,7.3,111,3.4,6.6,566,17.2,8,1993,60.4,1.1,53.6,107.1,53.1,56.3,34.1,71.9,11,Midwest,MW6,2004MW6,51,0
Boston College,2003 2004,Big East,2312,68,819,1799,45.5,546,804,67.9,128,393,32.6,1224,36,425,12.5,799,23.5,543,16,1.2,66.3,458,13.5,20.6,240,7.1,10.8,102,3,5.2,536,15.8,9,2221,65.3,1,55.1,104.1,49,53,44.6,70.8,6,Midwest,MW6,2004MW6,58,1
Michigan State,2003 2004,Big Ten,2138,71.3,748,1519,49.2,452,586,77.1,190,474,40.1,910,30.3,270,9,640,21.3,441,14.7,1,58.9,438,14.6,22.3,214,7.1,10.9,54,1.8,3.5,629,21,14,1961,65.4,1.1,52,109,55.4,59.4,38.5,69.9,7,Midwest,MW7,2004MW7,66,0
Nevada,2003 2004,WAC,2579,75.9,901,1991,45.3,605,830,72.9,172,501,34.3,1322,38.9,449,13.2,873,25.7,478,14.1,1.1,53,445,13.1,18.6,218,6.4,9.1,154,4.5,7.8,624,18.4,10,2385,70.1,1.1,55.4,108.1,49.5,54,41.6,69.8,10,Midwest,MW7,2004MW7,72,1
Valparaiso,2003 2004,Mid-Continent,2217,71.5,765,1740,44,522,740,70.5,165,535,30.8,1183,38.2,368,11.9,815,26.3,474,15.3,0.9,61.9,500,16.1,22.4,210,6.8,9.4,97,3.1,5.3,692,22.3,18,2227,71.8,1,50.5,99.6,48.7,53,42.5,69,15,Midwest,MW8,2004MW8,49,0
Gonzaga,2003 2004,West Coast,2536,81.8,899,1764,51,543,724,75,195,491,39.7,1230,39.7,364,11.7,866,27.9,556,17.9,1.3,61.8,418,13.5,19.3,192,6.2,8.8,116,3.7,6.1,499,16.1,3,2164,69.8,1.2,57.8,117.2,56.4,60.1,41,70.8,2,Midwest,MW8,2004MW8,76,1
Alabama State,2003 2004,SWAC,1904,61.4,639,1519,42.1,453,691,65.6,173,517,33.5,1065,34.4,360,11.6,705,22.7,315,10.2,0.6,49.2,537,17.3,26.4,219,7.1,10.7,95,3.1,5.8,581,18.7,16,2033,65.6,0.9,48.5,93.7,47.7,51.5,45.4,67.1,16,South,S1,2004S1,61,0
Duke,2003 2004,ACC,2954,79.8,1018,2161,47.1,655,890,73.6,263,722,36.4,1351,36.5,489,13.2,862,23.3,536,14.5,1,52.6,511,13.8,19.5,340,9.2,13,240,6.5,11.1,697,18.8,18,2609,70.5,1.1,56.3,113.2,53.1,57.1,41.1,68.9,1,South,S1,2004S1,96,1
Arizona,2003 2004,Pac 12,2614,87.1,942,1938,48.6,511,650,78.6,219,568,38.6,1177,39.2,410,13.7,767,25.6,560,18.7,1.2,59.4,448,14.9,19.6,206,6.9,9,135,4.5,6.8,481,16,11,2279,76,1.1,56.6,114.7,54.2,58.1,33.5,72,9,South,S2,2004S2,76,0
Seton Hall,2003 2004,Big East,2228,71.9,806,1759,45.8,435,609,71.4,181,521,34.7,1134,36.6,359,11.6,775,25,406,13.1,1,50.3,403,13,19.2,207,6.7,9.8,95,3.1,5.3,569,18.4,9,2098,67.7,1.1,53.8,106.2,50.9,54.3,34.6,72.3,8,South,S2,2004S2,80,1
Murray State,2003 2004,Ohio Valley,2730,80.3,994,2009,49.5,518,730,71,224,659,34,1261,37.1,416,12.2,845,24.9,636,18.7,1.3,63.9,476,14,19.6,271,8,11.2,146,4.3,7.3,613,18,10,2418,71.1,1.1,56.7,112.9,55,57.9,36.3,72.8,12,South,S3,2004S3,53,0
Illinois,2003 2004,Big Ten,2402,72.8,887,1899,46.7,397,571,69.5,231,662,34.9,1150,34.8,393,11.9,757,22.9,565,17.1,1.4,63.6,401,12.2,18.5,224,6.8,10.3,122,3.7,6.9,619,18.8,9,2164,65.6,1.1,55.6,111,52.7,55.3,30,73.8,5,South,S3,2004S3,72,1
East Tennessee State,2003 2004,SoCon,2618,79.3,946,2059,45.9,525,762,68.9,201,580,34.7,1269,38.5,411,12.5,858,26,505,15.3,1,53.3,514,15.6,20.3,382,11.6,15.1,192,5.8,9.3,554,16.8,13,2529,76.6,1,52.7,103.5,50.8,54,37,72.2,13,South,S4,2004S4,77,0
Cincinnati,2003 2004,C-USA,2455,76.7,867,1893,45.8,484,723,66.9,237,612,38.7,1197,37.4,420,13.1,777,24.3,517,16.2,1.3,59.6,393,12.3,17.7,241,7.5,10.8,168,5.3,9.8,616,19.3,10,2214,69.2,1.1,56.2,110.9,52,54.8,38.1,70.6,4,South,S4,2004S4,80,1
Princeton,2003 2004,Ivy League,1760,62.9,634,1319,48.1,323,454,71.1,169,500,33.8,856,30.6,241,8.6,615,22,376,13.4,1,59.3,372,13.3,22.2,192,6.9,11.4,90,3.2,6.7,507,18.1,2,1671,59.7,1.1,51.7,105.3,54.4,57.3,34.4,72,14,South,S5,2004S5,49,0
Texas,2003 2004,Big 12,2529,76.6,904,2046,44.2,494,726,68,227,610,37.2,1355,41.1,529,16,826,25,447,13.5,1.2,49.4,388,11.8,17.1,219,6.6,9.6,125,3.8,6.6,643,19.5,8,2262,68.5,1.1,58.8,111.8,49.7,52.8,35.4,71.4,3,South,S5,2004S5,66,1
Air Force,2003 2004,Mountain West,1737,59.9,585,1216,48.1,322,453,71.1,245,647,37.9,623,21.5,174,6,449,15.5,386,13.3,1.2,65.9,318,11,20,225,7.8,14.2,68,2.3,5.7,481,16.6,5,1584,54.6,1.1,49.4,109.7,58.1,60.6,37.2,67.3,11,South,S6,2004S6,52,0
North Carolina,2003 2004,ACC,2464,82.1,877,1913,45.8,515,749,68.8,195,555,35.1,1191,39.7,460,15.3,731,24.4,540,18,1.2,61.5,462,15.4,20.3,285,9.5,12.5,120,4,6.6,554,18.5,11,2265,75.5,1.1,56.2,108.8,50.9,54.3,39.1,71.1,6,South,S6,2004S6,63,1
Louisville,2003 2004,C-USA,2195,73.2,737,1757,41.9,480,641,74.9,241,713,33.8,1126,37.5,351,11.7,775,25.8,460,15.3,1.1,62.4,413,13.8,19.5,249,8.3,11.7,152,5.1,9,616,20.5,18,2117,70.6,1,50.1,103.7,48.8,53.2,36.4,67.1,10,South,S7,2004S7,70,0
Xavier,2003 2004,A-10,2635,71.2,908,2058,44.1,535,777,68.9,284,756,37.6,1327,35.9,439,11.9,888,24,495,13.4,1.1,54.5,459,12.4,18.7,252,6.8,10.2,87,2.4,4.2,617,16.7,11,2448,66.2,1.1,53.5,107.6,51,54.2,37.7,68.9,7,South,S7,2004S7,80,1
Monmouth,2003 2004,NEC,2253,68.3,752,1802,41.7,513,693,74,236,675,35,1088,33,303,9.2,785,23.8,454,13.8,1,60.3,446,13.5,19.6,252,7.6,11,84,2.5,4.5,579,17.5,12,2274,68.9,1,46.9,99.1,48.2,52.8,38.4,66.7,15,South,S8,2004S8,52,0
Missouri State,2003 2004,Missouri Valley,2209,66.9,743,1696,43.8,580,844,68.7,143,409,35,1215,36.8,407,12.3,808,24.5,383,11.6,0.8,51.5,489,14.8,22.4,247,7.5,11.3,83,2.5,4.8,672,20.4,22,2181,66.1,1,52.6,101.3,48,52.6,49.7,67.2,2,South,S8,2004S8,85,1
Texas-San Antonio,2003 2004,Southland,2400,72.7,813,1896,42.9,540,775,69.7,234,648,36.1,1242,37.6,415,12.6,827,25.1,421,12.8,0.7,51.7,564,17.1,23.4,251,7.6,10.4,99,3,5,635,19.2,18,2408,73,1,49.9,99.7,49,53,40.8,67.7,16,West,W1,2004W1,45,0
Stanford,2003 2004,Pac 12,2356,73.6,849,1771,47.9,489,651,75.1,169,464,36.4,1178,36.8,366,11.4,812,25.4,514,16.1,1.1,60.5,451,14.1,20.9,204,6.4,9.4,142,4.4,8.1,569,17.8,8,2156,67.4,1.1,54.6,109.3,52.7,56.6,36.7,72,1,West,W1,2004W1,71,1
Southern Illinois,2003 2004,Missouri Valley,2131,71,787,1775,44.3,372,540,68.9,185,548,33.8,1057,35.2,393,13.1,664,22.1,424,14.1,1.2,53.8,360,12,17.9,302,10.1,15,91,3,5.8,576,19.2,5,2001,66.7,1.1,55.2,106.5,49.5,52.4,30.4,73.8,9,West,W2,2004W2,64,0
Alabama,2003 2004,SEC,2380,72.1,813,1802,45.1,521,735,70.9,233,616,37.8,1148,34.8,366,11.1,782,23.7,395,12,0.9,48.5,423,12.8,19.1,213,6.5,9.6,111,3.4,5.9,595,18,13,2208,66.9,1.1,52.9,107.8,51.5,55.3,40.7,68.3,8,West,W2,2004W2,65,1
Brigham Young,2003 2004,Mountain West,2200,73.3,764,1569,48.7,501,692,72.4,171,488,35,1019,34,316,10.5,703,23.4,445,14.8,1.1,58.2,409,13.6,20.5,207,6.9,10.3,98,3.3,6.2,565,18.8,14,1995,66.5,1.1,54.6,110.3,54.1,57.9,44.1,69.4,12,West,W3,2004W3,75,0
Syracuse,2003 2004,Big East,2265,73.1,847,1829,46.3,430,669,64.3,141,430,32.8,1178,38,423,13.6,755,24.4,465,15,1.2,54.8,395,12.7,18.7,235,7.6,11.1,205,6.6,11.1,554,17.9,12,2112,68.1,1.1,57.1,107.2,50.1,52.7,36.5,74.7,5,West,W3,2004W3,80,1
Texas-El Paso,2003 2004,WAC,2479,77.5,834,1748,47.7,614,817,75.2,197,513,38.4,1106,34.6,328,10.3,778,24.3,523,16.3,1.2,62.7,445,13.9,19.7,228,7.1,10.1,86,2.7,4.5,570,17.8,9,2252,70.4,1.1,52.9,110.1,53.3,58,46.7,67.2,13,West,W4,2004W4,83,0
Maryland,2003 2004,ACC,2477,77.4,891,2021,44.1,530,840,63.1,165,490,33.7,1322,41.3,501,15.7,821,25.7,451,14.1,0.9,50.6,485,15.2,20.2,274,8.6,11.4,215,6.7,11.2,631,19.7,21,2395,74.8,1,55.5,103.4,48.1,51.1,41.5,71.9,4,West,W4,2004W4,86,1
Lafayette,2003 2004,Patriot,2118,75.6,731,1513,48.3,435,610,71.3,221,553,40,968,34.6,249,8.9,719,25.7,429,15.3,1,58.6,429,15.3,21.6,155,5.5,7.8,144,5.1,8.1,505,18,5,1986,70.9,1.1,50.4,106.6,55.6,58.7,40.3,69,14,West,W5,2004W5,52,0
NC State,2003 2004,ACC,2261,72.9,760,1688,45,481,602,79.9,260,753,34.5,1046,33.7,317,10.2,729,23.5,454,14.6,1.1,59.7,420,13.5,20.2,208,6.7,10,69,2.2,4,577,18.6,15,2073,66.9,1.1,51,109.1,52.7,57.2,35.6,67.2,3,West,W5,2004W5,61,1
Western Michigan,2003 2004,MAC,2434,78.5,845,1840,45.9,527,731,72.1,217,585,37.1,1177,38,449,14.5,728,23.5,474,15.3,1.2,56,411,13.3,19.1,276,8.9,12.8,83,2.7,5,600,19.4,16,2146,69.2,1.1,57.4,113.4,51.8,55.6,39.7,69.4,11,West,W6,2004W6,58,0
Vanderbilt,2003 2004,SEC,2414,73.2,841,1873,44.9,469,660,71.1,263,716,36.7,1150,34.8,367,11.1,783,23.7,541,16.4,1.3,64.3,419,12.7,18.7,248,7.5,11.1,112,3.4,6.1,576,17.5,8,2229,67.5,1.1,52.7,108.3,51.9,55.2,35.2,69.6,6,West,W6,2004W6,71,1
Dayton,2003 2004,A-10,2244,68,780,1746,44.7,477,717,66.5,207,644,32.1,1266,38.4,409,12.4,857,26,489,14.8,1,62.6,467,14.2,21.8,150,4.5,7,94,2.8,5,576,17.5,5,2138,64.8,1,53.7,105,50.6,53.7,41,69.5,10,West,W7,2004W7,69,0
DePaul,2003 2004,C-USA,2257,70.5,813,1755,46.3,468,671,69.7,163,450,36.2,1159,36.2,382,11.9,777,24.3,437,13.7,1,53.7,422,13.2,19.9,176,5.5,8.3,74,2.3,4,561,17.5,14,2117,66.2,1.1,54.8,106.6,50.9,54.4,38.2,72,7,West,W7,2004W7,76,1
Vermont,2003 2004,America East,2045,66,734,1738,42.2,374,551,67.9,203,617,32.9,1125,36.3,360,11.6,765,24.7,447,14.4,1.1,60.8,389,12.5,19.2,217,7,10.7,87,2.8,5,477,15.4,5,2025,65.3,1,51.4,101,48,51.1,31.7,71.7,15,West,W8,2004W8,53,0
Connecticut,2003 2004,Big East,3073,78.8,1154,2403,48,516,828,62.3,249,619,40.2,1742,44.7,586,15,1156,29.6,681,17.5,1.3,59,532,13.6,19.3,233,6,8.4,315,8.1,12.5,619,15.9,5,2743,70.3,1.1,59.2,112,53.2,54.9,34.4,75.1,2,West,W8,2004W8,70,1
Oakland,2004 2005,Mid-Continent,2269,70.9,811,1804,45,446,671,66.5,201,593,33.9,1044,32.6,384,12,660,20.6,474,14.8,1.2,58.4,390,12.2,18.2,228,7.1,10.6,77,2.4,4.3,561,17.5,11,2134,66.7,1.1,54.4,106.3,50.5,53.4,37.1,71.4,16,East,E1,2005E1,68,0
North Carolina,2004 2005,ACC,3257,88,1128,2260,49.9,724,998,72.5,277,687,40.3,1499,40.5,502,13.6,997,26.9,706,19.1,1.2,62.5,594,16.1,21,362,9.8,12.8,142,3.8,6.2,662,17.9,9,2816,76.1,1.2,57.1,115.7,56,59.5,44.1,69.2,1,East,E1,2005E1,96,1
Minnesota,2004 2005,Big Ten,2175,68,771,1707,45.2,463,656,70.6,170,487,34.9,1091,34.1,373,11.7,718,22.4,453,14.2,0.9,58.7,517,16.2,23.8,292,9.1,13.4,145,4.5,8.4,511,16,11,2168,67.8,1,51.4,100.3,50.1,53.8,38.4,70.8,8,East,E2,2005E2,53,0
Iowa State,2004 2005,Big 12,2112,68.1,784,1793,43.7,431,632,68.2,113,386,29.3,1100,35.5,376,12.1,724,23.4,444,14.3,1.1,56.6,405,13.1,18.9,295,9.5,13.8,120,3.9,6.9,524,16.9,18,2133,68.8,1,52.7,99,46.8,50.4,35.2,74.2,9,East,E2,2005E2,64,1
New Mexico,2004 2005,Mountain West,2492,75.5,855,1733,49.3,513,755,67.9,269,688,39.1,1127,34.2,327,9.9,800,24.2,491,14.9,1.1,57.4,455,13.8,20.5,252,7.6,11.3,115,3.5,6.1,558,16.9,5,2216,67.2,1.1,54,112.5,57,59.5,43.5,68.6,12,East,E3,2005E3,47,0
Villanova,2004 2005,Big East,2336,73,801,1840,43.5,509,692,73.6,225,626,35.9,1193,37.3,463,14.5,730,22.8,385,12,0.9,48,409,12.8,19.2,267,8.3,12.5,178,5.6,10.4,593,18.5,16,2127,66.5,1.1,56.2,109.8,49.6,53.8,37.6,68.5,5,East,E3,2005E3,55,1
Ohio,2004 2005,MAC,2288,71.5,773,1675,46.1,560,802,69.8,182,555,32.8,1050,32.8,348,10.9,702,21.9,374,11.7,0.9,48.3,423,13.2,19.8,273,8.5,12.7,86,2.7,4.8,571,17.8,11,2135,66.7,1.1,53.4,107.2,51.5,55.6,47.8,67.5,13,East,E4,2005E4,62,0
Florida,2004 2005,SEC,2438,76.2,844,1751,48.2,506,716,70.7,244,626,39,1186,37.1,366,11.4,820,25.6,475,14.8,1.1,56.2,444,13.9,20.4,228,7.1,10.4,146,4.6,8.3,597,18.7,8,2174,67.9,1.1,55.1,112.1,55.1,58.2,40.8,69.2,4,East,E4,2005E4,67,1
Kansas,2004 2005,Big 12,2251,75,801,1684,47.6,451,649,69.5,198,539,36.7,1129,37.6,350,11.7,779,26,495,16.5,1.1,61.7,433,14.4,20.9,197,6.6,9.5,115,3.8,6.7,573,19.1,13,2064,68.8,1.1,54.3,109.1,53.4,56.4,38.5,71.1,3,East,E5,2005E5,63,0
Bucknell,2004 2005,Patriot,2097,63.5,704,1585,44.4,471,672,70.1,218,591,36.9,1044,31.6,306,9.3,738,22.4,416,12.6,0.8,59,508,15.4,24,262,7.9,12.4,96,2.9,5.8,630,19.1,9,2110,63.9,1,48.2,99.4,51.2,55,42.3,67.1,14,East,E5,2005E5,64,1
Northern Iowa,2004 2005,Missouri Valley,2311,72.2,847,1763,48,391,560,69.8,226,593,38.1,1071,33.5,283,8.8,788,24.6,491,15.3,1.3,57.9,373,11.7,17.5,192,6,9,138,4.3,7.8,556,17.4,13,2124,66.4,1.1,52.9,108.8,54.4,56.9,31.7,73.3,11,East,E6,2005E6,52,0
Wisconsin,2004 2005,Big Ten,2290,67.4,788,1789,44,464,685,67.7,250,640,39.1,1176,34.6,342,10.1,834,24.5,444,13.1,1.1,56.3,389,11.4,17.9,179,5.3,8.2,62,1.8,3.4,516,15.2,4,2163,63.6,1.1,51.8,105.9,51,54.1,38.2,68.8,6,East,E6,2005E6,57,1
Charlotte,2004 2005,C-USA,2257,77.8,763,1767,43.2,499,730,68.4,232,630,36.8,1119,38.6,420,14.5,699,24.1,409,14.1,1.1,53.6,389,13.4,18.6,252,8.7,12,92,3.2,5.2,493,17,10,2091,72.1,1.1,54.8,107.9,49.7,53.3,41.3,67.6,7,East,E7,2005E7,63,0
NC State,2004 2005,ACC,2559,73.1,871,1915,45.5,523,742,70.5,294,795,37,1121,32,375,10.7,746,21.3,529,15.1,1.2,60.7,435,12.4,18.6,260,7.4,11.1,156,4.5,8.3,656,18.7,16,2328,66.5,1.1,53,109.9,53.1,56.4,38.7,68,10,East,E7,2005E7,75,1
UCF,2004 2005,Atlantic Sun,2304,69.8,784,1702,46.1,453,651,69.6,283,759,37.3,1174,35.6,405,12.3,769,23.3,512,15.5,1,65.3,496,15,23.5,222,6.7,10.5,143,4.3,8.1,621,18.8,13,2104,63.8,1.1,54,109.5,54.3,57.2,38.2,68,15,East,E8,2005E8,71,0
Connecticut,2004 2005,Big East,2419,78,862,1872,46,541,773,70,154,444,34.7,1412,45.5,478,15.4,934,30.1,531,17.1,1.1,61.6,468,15.1,21,189,6.1,8.4,275,8.9,13.6,488,15.7,5,2226,71.8,1.1,57.2,108.7,50.1,54,41.2,71.2,2,East,E8,2005E8,77,1
Fairleigh Dickinson,2004 2005,NEC,2432,73.7,894,1975,45.3,426,640,66.6,218,626,34.8,1200,36.4,408,12.4,792,24,498,15.1,1.1,55.7,466,14.1,19.9,237,7.2,10.1,145,4.4,7.8,624,18.9,15,2332,70.7,1,53.3,104.3,50.7,53.3,32.4,73.5,16,Midwest,MW1,2005MW1,55,0
Illinois,2004 2005,Big Ten,3002,77,1092,2258,48.4,474,651,72.8,344,877,39.2,1338,34.3,425,10.9,913,23.4,727,18.6,1.7,66.5,428,11,16.6,300,7.7,11.6,123,3.2,5.8,611,15.7,6,2565,65.8,1.2,56.4,117,55.9,58.4,28.8,72.7,1,Midwest,MW1,2005MW1,67,1
