Name,Cost,Set Name,R,  High  ,  Med  ,  Low  
 Silverflame Ritual,3W, Throne of Eldraine,C,1.7,0.15,0.01
 Silverflame Squire,2W, Throne of Eldraine,C,150,0.15,0.01
 Silverflame Squire (Showcase),2W, Throne of Eldraine,C,6.94,0.39,0.16
 Silverwing Squadron,5W, Throne of Eldraine,R,12.99,1.65,0.28
 Skullknocker Ogre,3R, Throne of Eldraine,U,100,0.23,0.01
 Slaying Fire,2R, Throne of Eldraine,U,5,0.29,0.05
 Smitten Swordmaster,1B/B, Throne of Eldraine,C,3.01,0.15,0.01
 Smitten Swordmaster (Showcase),1B/B, Throne of Eldraine,C,14.27,1.89,1
 So Tiny,U, Throne of Eldraine,C,1.7,0.15,0.01
 Sorcerer's Broom,2, Throne of Eldraine,U,5,0.2,0.02
 Sorcerous Spyglass,2, Throne of Eldraine,R,5,0.45,0.15
 Sorcerous Spyglass (Extended Art),2, Throne of Eldraine,R,16.99,4.28,1.65
 Specter's Shriek,B, Throne of Eldraine,U,5,0.2,0.03
 Spinning Wheel,3, Throne of Eldraine,U,5,0.2,0.01
 Sporecap Spider,2G, Throne of Eldraine,C,100,0.15,0.01
 Steelbane Hydra,XGG, Throne of Eldraine,R,27.5,5,3
 Steelclaw Lance,BR, Throne of Eldraine,U,5,0.22,0.03
 Steelgaze Griffin,4U, Throne of Eldraine,C,150,0.15,0.01
 Stolen by the Fae,XUU, Throne of Eldraine,R,5,0.35,0.05
 Stolen by the Fae (Extended Art),XUU, Throne of Eldraine,R,15,2.83,1.29
 Stonecoil Serpent,X, Throne of Eldraine,R,5.55,1.99,0.8
 Stonecoil Serpent (Extended Art),X, Throne of Eldraine,R,68.14,9.9,6.99
 Stormfist Crusader,BR, Throne of Eldraine,R,5,0.54,0.02
 Stormfist Crusader (Extended Art),BR, Throne of Eldraine,R,70,5.99,3.63
 Sundering Stroke,6R, Throne of Eldraine,R,5.48,0.25,0.02
 Sundering Stroke (Extended Art),6R, Throne of Eldraine,R,10,2.42,0.48
 Swamp,, Throne of Eldraine,L,1.03,0.25,0.04
 Swamp (259),, Throne of Eldraine,L,1.03,0.14,0.02
 Swamp (260),, Throne of Eldraine,L,1.01,0.15,0.02
 Swamp (261),, Throne of Eldraine,L,1.03,0.15,0.07
" Syr Alin, the Lion's Claw",3WW, Throne of Eldraine,U,1.5,0.2,0.03
" Syr Carah, the Bold",3RR, Throne of Eldraine,U,1.7,0.23,0.03
" Syr Elenora, the Discerning",3UU, Throne of Eldraine,U,5,0.22,0.02
" Syr Faren, the Hengehammer",GG, Throne of Eldraine,U,5,0.24,0.01
" Syr Gwyn, Hero of Ashvale",3RWB, Throne of Eldraine,M,39.99,7.36,4.5
" Syr Konrad, the Grim",3BB, Throne of Eldraine,U,5,0.42,0.05
 Tall as a Beanstalk,3G, Throne of Eldraine,C,150,0.15,0.01
 Taste of Death,4BB, Throne of Eldraine,R,9.99,1.35,0.35
 Tempting Witch,2B, Throne of Eldraine,C,1.7,0.15,0.01
 The Cauldron of Eternity,10BB, Throne of Eldraine,M,100,2.19,0.99
 The Cauldron of Eternity (Extended Art),10BB, Throne of Eldraine,M,59.75,10.28,6.96
 The Circle of Loyalty,4WW, Throne of Eldraine,M,10,1.99,1
 The Circle of Loyalty (Extended Art),4WW, Throne of Eldraine,M,249.99,11.15,4.3
 The Great Henge,7GG, Throne of Eldraine,M,20,13.97,11.99
 The Great Henge (Extended Art),7GG, Throne of Eldraine,M,63,30.99,21.23
 The Magic Mirror,6UUU, Throne of Eldraine,M,12.99,2.5,1.39
 The Magic Mirror (Extended Art),6UUU, Throne of Eldraine,M,114,14.5,9.08
 The Royal Scions,1UR, Throne of Eldraine,M,20,9.75,6
 The Royal Scions (Borderless),1UR, Throne of Eldraine,M,128.28,18.45,13
 Thorn Mammoth,5GG, Throne of Eldraine,R,8.99,1.26,0.33
 Thornwood Falls,, Throne of Eldraine,C,1.7,0.2,0.05
 Thrill of Possibility,1R, Throne of Eldraine,C,1.7,0.24,0.01
 Thunderous Snapper,(G/U)(G/U)(G/U)(G/U), Throne of Eldraine,U,100,0.19,0.01
 Tome of Legends,2, Throne of Eldraine,R,12.99,3.51,1.85
 Tome Raider,2U, Throne of Eldraine,C,100,0.15,0.01
" Torbran, Thane of Red Fell",1RRR, Throne of Eldraine,R,5.98,2.98,1.74
" Torbran, Thane of Red Fell (Extended Art)",1RRR, Throne of Eldraine,R,29.36,11,7.01
 Tournament Grounds,, Throne of Eldraine,U,3.01,0.35,0.05
 Trail of Crumbs,1G, Throne of Eldraine,U,5,0.2,0.02
 Trapped in the Tower,1W, Throne of Eldraine,C,100,0.15,0.01
 True Love's Kiss,2WW, Throne of Eldraine,C,150,0.15,0.01
 Tuinvale Treefolk,5G, Throne of Eldraine,C,150,0.15,0.01
 Tuinvale Treefolk (Showcase),5G, Throne of Eldraine,C,25,0.49,0.14
 Turn into a Pumpkin,3U, Throne of Eldraine,U,5,0.2,0.01
 Unexplained Vision,4U, Throne of Eldraine,C,150,0.15,0.01
 Vantress Gargoyle,1U, Throne of Eldraine,R,5.1,0.9,0.45
 Vantress Gargoyle (Extended Art),1U, Throne of Eldraine,R,13.75,4.1,2
 Vantress Paladin,3U, Throne of Eldraine,C,150,0.15,0.01
 Venerable Knight,W, Throne of Eldraine,U,5,0.25,0.01
 Wandermare,1GW, Throne of Eldraine,U,5,0.21,0.01
 Weapon Rack,4, Throne of Eldraine,C,100,0.15,0.01
 Weaselback Redcap,R, Throne of Eldraine,C,100,0.15,0.01
 Wicked Guardian,3B, Throne of Eldraine,C,150,0.15,0.01
 Wicked Wolf,2GG, Throne of Eldraine,R,200,1.21,0.63
 Wicked Wolf (Extended Art),2GG, Throne of Eldraine,R,40,8.22,4.94
 Wildborn Preserver,1G, Throne of Eldraine,R,6,1,0.22
 Wildborn Preserver (Extended Art),1G, Throne of Eldraine,R,39.99,4.7,3
 Wildwood Tracker,G, Throne of Eldraine,C,1.7,0.15,0.01
 Wind-Scarred Crag,, Throne of Eldraine,C,1.7,0.2,0.1
 Wintermoor Commander,WB, Throne of Eldraine,U,5,0.25,0.02
 Wishclaw Talisman,1B, Throne of Eldraine,R,5.66,1.22,0.47
 Wishclaw Talisman (Extended Art),1B, Throne of Eldraine,R,17.49,9.49,6
 Wishful Merfolk,1U, Throne of Eldraine,C,1.25,0.15,0.01
 Witch's Cottage,, Throne of Eldraine,C,1.7,0.25,0.02
 Witch's Oven,1, Throne of Eldraine,U,5,0.28,0.05
 Witch's Vengeance,1BB, Throne of Eldraine,R,5,0.5,0.1
 Witch's Vengeance (Extended Art),1BB, Throne of Eldraine,R,18.99,2.99,1.5
 Witching Well,U, Throne of Eldraine,C,1.7,0.2,0.01
 Wolf // Food (15) Double-sided Token,, Throne of Eldraine,T,5.5,2.52,1.99
 Wolf // Food (16) Double-sided Token,, Throne of Eldraine,T,2.6,2.24,1.99
 Wolf // Food (17) Double-sided Token,, Throne of Eldraine,T,99,2.75,2.55
 Wolf // Food (18) Double-sided Token,, Throne of Eldraine,T,5.5,1.83,0.98
 Wolf Token,, Throne of Eldraine,T,2.1,0.29,0.1
 Wolf's Quarry,4GG, Throne of Eldraine,C,100,0.15,0.01
 Workshop Elders,6U, Throne of Eldraine,R,8.98,0.99,0.23
 Worthy Knight,1W, Throne of Eldraine,R,5,0.63,0.2
 Worthy Knight (Extended Art),1W, Throne of Eldraine,R,69,3.74,1.5
" Yorvo, Lord of Garenbrig",GGG, Throne of Eldraine,R,5,0.5,0.1
" Yorvo, Lord of Garenbrig (Extended Art)",GGG, Throne of Eldraine,R,100,3.74,2.04
 Youthful Knight,1W, Throne of Eldraine,C,100,0.15,0.01
