City,Country,Latitude,Longitude
Barcelona,Spain,41.38879,2.15899
Castello De La Plana,Spain,39.98333,-0.03333
Castellon,Spain,,
Donostia,Spain,,
Donostia,Spain,,
Donostia,Spain,,
Donostia-SSebastian Gipuzkoa,Spain,,
Donostia - San Sebast,Spain,,
Passaia,Spain,,
"Zarautz, Guipuzkoa",Spain,,
Jaca,Spain,42.56898,-0.54987
"Jaca, Huesca",Spain,,
Jaen,Spain,37.76922,-3.79028
"Logrono, La Rioja",Spain,,
MADRID,Spain,40.4165,-3.70256
Madrid,Spain,40.4165,-3.70256
Madrid,Spain,40.4165,-3.70256
Madrid,Spain,40.4165,-3.70256
Madrid,Spain,40.4165,-3.70256
Madrid,Spain,40.4165,-3.70256
Madrid,Spain,40.4165,-3.70256
Madrid,Spain,40.4165,-3.70256
Madrid,Spain,40.4165,-3.70256
Madrid,Spain,40.4165,-3.70256
Madrid,Spain,40.4165,-3.70256
Madrid,Spain,40.4165,-3.70256
MADRID,Spain,40.4165,-3.70256
Pozuelo Madrid,Spain,,
Madrid,Spain,40.4165,-3.70256
Madrid,Spain,40.4165,-3.70256
Cartagena,Spain,37.60512,-0.98623
Cartagena,Spain,37.60512,-0.98623
PAMPLONA,Spain,42.81687,-1.64323
Oviedo,Spain,43.36029,-5.84476
Oviedo,Spain,43.36029,-5.84476
Oviedo,Spain,43.36029,-5.84476
Las Palmas de GC,Spain,,
Salamanca,Spain,40.96882,-5.66388
"La Laguna, Sta Cruz Tenerife",Spain,,
"El pinar, s/c tenerife. el hie",Spain,,
"Santander, Cantabria",Spain,,
Santander,Spain,43.46472,-3.80444
SANTANDER,Spain,43.46472,-3.80444
Torrelavega,Spain,43.34944,-4.04785
Sevilla,Spain,37.38241,-5.97613
Sevilla,Spain,37.38241,-5.97613
Seville,Spain,,
San Lorenzo de El Escorial,Spain,40.59144,-4.14738
Valencia,Spain,39.46975,-0.37739
Valencia,Spain,39.46975,-0.37739
VALLADOLID,Spain,41.65518,-4.72372
"Sukarrieta, Bizkaia",Spain,,
"Sukarrieta, Bizkaia",Spain,,
"Sukarrieta, Vizcaya",Spain,,
"Sukarrieta, Vizcaya",Spain,,
"Zeberio, Bizkaia",Spain,,
Vizcaya,Spain,,
"Leioa, Bizkaia",Spain,,
"Santurtzi, Bizkaia",Spain,,
ZARAGOZA,Spain,41.65606,-0.87734
Zaragoza,Spain,41.65606,-0.87734
Madrid,Spain,40.4165,-3.70256
"Gernika, Bizkaia",Spain,,
08036 Madrid,Spain,,
30080-Murcia,Spain,,
20009 San Sebastian,Spain,,
Catalunya,Spain,,
Almeria,Spain,36.83814,-2.45974
GIPUZKOA,Spain,,
Madrid,Spain,40.4165,-3.70256
Madrid,Spain,40.4165,-3.70256
Valencia,Spain,39.46975,-0.37739
M??stoles,Spain,,
Valencia,Spain,39.46975,-0.37739
Badalona,Spain,41.45004,2.24741
Madrid,Spain,40.4165,-3.70256
Madrid,Spain,40.4165,-3.70256
Mancha real,Spain,37.78627,-3.61226
Madrid,Spain,40.4165,-3.70256
Madrid,Spain,40.4165,-3.70256
Leon,Spain,42.6,-5.56667
Barcelona,Spain,41.38879,2.15899
Madrid,Spain,40.4165,-3.70256
Bilbao,Spain,43.26271,-2.92528
Oviedo,Spain,43.36029,-5.84476
Zumarraga,Spain,43.08858,-2.31408
Barcelona,Spain,41.38879,2.15899
Madrid,Spain,40.4165,-3.70256
San Sebastian de los Reyes,Spain,40.54433,-3.61588
Barcelona,Spain,41.38879,2.15899
Vitoria,Spain,,
ZALDIBIA,Spain,,
Granada,Spain,37.18817,-3.60667
Oviedo,Spain,43.36029,-5.84476
Valencia,Spain,39.46975,-0.37739
Jaen,Spain,37.76922,-3.79028
Vitoria-Gasteiz,Spain,,
SUKARRIETA,Spain,,
Seoul,South Korea,37.56826,126.97783
Kwangju,South Korea,37.41,127.25722
Seoul,South Korea,37.56826,126.97783
Seoul,South Korea,37.56826,126.97783
Seoul,South Korea,37.56826,126.97783
Seoul,South Korea,37.56826,126.97783
Seoul,South Korea,37.56826,126.97783
Seoul,South Korea,37.56826,126.97783
Seoul,South Korea,37.56826,126.97783
Seoul,South Korea,37.56826,126.97783
Seoul,South Korea,37.56826,126.97783
Seoul,South Korea,37.56826,126.97783
SEOUL,South Korea,37.56826,126.97783
Seoul,South Korea,37.56826,126.97783
Seoul,South Korea,37.56826,126.97783
Seoul,South Korea,37.56826,126.97783
Seoul,South Korea,37.56826,126.97783
Seoul,South Korea,37.56826,126.97783
Seoul,South Korea,37.56826,126.97783
Seoul,South Korea,37.56826,126.97783
Seoul,South Korea,37.56826,126.97783
Seoul,South Korea,37.56826,126.97783
Seoul,South Korea,37.56826,126.97783
Seoul,South Korea,37.56826,126.97783
Seoul,South Korea,37.56826,126.97783
Seoul,South Korea,37.56826,126.97783
"Seoul, DONGJACK-GU",South Korea,,
Seoul,South Korea,37.56826,126.97783
"Chungju, Chungbuk",South Korea,,
"Kwachun, Gyungido",South Korea,,
Seoul,South Korea,37.56826,126.97783
Busan,South Korea,35.10278,129.04028
Busan,South Korea,35.10278,129.04028
Busan,South Korea,35.10278,129.04028
Daegu,South Korea,35.87028,128.59111
Daegu,South Korea,35.87028,128.59111
Daegu,South Korea,35.87028,128.59111
Incheon,South Korea,37.45361,126.73167
Seoul,South Korea,37.56826,126.97783
"Pretoria, Guateng",South Africa,,
"Pretoria, Gauteng",South Africa,,
Pretoria,South Africa,-25.74486,28.18783
"Pretoria, Gauteng",South Africa,,
"Pretoria, South Africa",South Africa,,
Pretoria,South Africa,-25.74486,28.18783
"Pretoria, Gauteng",South Africa,,
Pretoria,South Africa,-25.74486,28.18783
"Pretoria, Guateng",South Africa,,
Pretoria,South Africa,-25.74486,28.18783
"Pretoria, Guateng",South Africa,,
Hatfield,South Africa,,
Pretoria,South Africa,-25.74486,28.18783
"Pretoria, Gauteng",South Africa,,
"Pretoria, Gauteng",South Africa,,
"Pretoria, Gauteng",South Africa,,
Pretoria,South Africa,-25.74486,28.18783
"Louis Trichardt, Limp",South Africa,,
"Midrand, Gauteng",South Africa,,
Johannesburg,South Africa,-26.20227,28.04363
Parktown,South Africa,,
Johannesburg,South Africa,-26.20227,28.04363
Guateng,South Africa,,
Auckland Park,South Africa,,
Johannesburg,South Africa,-26.20227,28.04363
"Johannesburg, Gauteng",South Africa,,
Johannesburg,South Africa,-26.20227,28.04363
Johannesburg,South Africa,-26.20227,28.04363
"Sandton, Gaunteng",South Africa,,
Northcliff,South Africa,,
Randburg Gauteng,South Africa,,
Johannesburg,South Africa,-26.20227,28.04363
"Johannesburg, Gauteng",South Africa,,
Johannesburg,South Africa,-26.20227,28.04363
"Johannesburg, Gauteng",South Africa,,
"Johannesburg, Outside",South Africa,,
PMB,South Africa,,
KwaZulu-Natal,South Africa,,
Scottsville,South Africa,,
"Hillcrest, Durban",South Africa,,
"Hillcrest, Durban",South Africa,,
"Hillcrest, Durban",South Africa,,
"Hillcrest, Durban",South Africa,,
Durban,South Africa,-29.8579,31.0292
"Congella, Durban",South Africa,,
"Overport, Durban",South Africa,,
Durban,South Africa,-29.8579,31.0292
Durban,South Africa,-29.8579,31.0292
Port Elizabeth,South Africa,-33.91799,25.57007
"Port Elizabeth, Eastr",South Africa,,
Port Elizabeth,South Africa,-33.91799,25.57007
"George, Western",South Africa,,
Cape Town,South Africa,-33.92584,18.42322
Tygerberg,South Africa,,
Cape Town,South Africa,-33.92584,18.42322
Tygerberg,South Africa,,
Tygerberg,South Africa,,
Tygerberg,South Africa,,
"Tygerberg, Cape Town",South Africa,,
Cape Town,South Africa,-33.92584,18.42322
"Cape Town, Bellville",South Africa,,
"Cape Town, West Prov",South Africa,,
Western Cape,South Africa,,
Western Cape,South Africa,,
Observatory,South Africa,,
Cape Town,South Africa,-33.92584,18.42322
Western Cape,South Africa,,
Cape Town,South Africa,-33.92584,18.42322
Johannesburg,South Africa,-26.20227,28.04363
Cape Town,South Africa,-33.92584,18.42322
Ruyterwacht,South Africa,,
SUN CITY,South Africa,,
Hatfield,South Africa,,
Cape Town,South Africa,-33.92584,18.42322
Gauteng,South Africa,,
Stellenbosch,South Africa,-33.93462,18.86676
Johannesburg,South Africa,-26.20227,28.04363
Johannesburg,South Africa,-26.20227,28.04363
Cape Town,South Africa,-33.92584,18.42322
Cape Town,South Africa,-33.92584,18.42322
Midrand,South Africa,-25.98953,28.12843
Bryanston,South Africa,,
Johannesburg,South Africa,-26.20227,28.04363
Pretoria,South Africa,-25.74486,28.18783
Pretoria,South Africa,-25.74486,28.18783
Johannesburg,South Africa,-26.20227,28.04363
Parktown,South Africa,,
Kokstad,South Africa,-30.54723,29.42412
Cape Town,South Africa,-33.92584,18.42322
Durban,South Africa,-29.8579,31.0292
Pretoria,South Africa,-25.74486,28.18783
Honiara,Solomon Islands,-9.43333,159.95
Ljubljana,Slovenia,46.05108,14.50513
Ljubljana,Slovenia,46.05108,14.50513
"Ljubljana, Slovenia",Slovenia,,
Ljubljana,Slovenia,46.05108,14.50513
Ljubljana,Slovenia,46.05108,14.50513
Ljubljana,Slovenia,46.05108,14.50513
Maribor,Slovenia,46.55472,15.64667
Sl-1000  Ljubljana,Slovenia,,
SI-6000 Koper,Slovenia,,
Presov,Slovakia,48.99839,21.23393
Bratislava,Slovakia,48.14816,17.10674
Singapore,Singapore,1.28967,103.85007
Singapore,Singapore,1.28967,103.85007
Singapore,Singapore,1.28967,103.85007
Singapore,Singapore,1.28967,103.85007
Singapore,Singapore,1.28967,103.85007
Singapore,Singapore,1.28967,103.85007
Singapore,Singapore,1.28967,103.85007
Singapore,Singapore,1.28967,103.85007
Singapore,Singapore,1.28967,103.85007
Singapore,Singapore,1.28967,103.85007
Singapore,Singapore,1.28967,103.85007
Singapore,Singapore,1.28967,103.85007
Singapore,Singapore,1.28967,103.85007
Singapore,Singapore,1.28967,103.85007
Singapore,Singapore,1.28967,103.85007
Singapore,Singapore,1.28967,103.85007
Singapore,Singapore,1.28967,103.85007
Singapore,Singapore,1.28967,103.85007
Singapore,Singapore,1.28967,103.85007
Singapore,Singapore,1.28967,103.85007
Singapore,Singapore,1.28967,103.85007
Singapore,Singapore,1.28967,103.85007
Singapore,Singapore,1.28967,103.85007
Singapore,Singapore,1.28967,103.85007
Singapore,Singapore,1.28967,103.85007
Singapore,Singapore,1.28967,103.85007
Singapore,Singapore,1.28967,103.85007
Singapore,Singapore,1.28967,103.85007
Singapore,Singapore,1.28967,103.85007
Singapore,Singapore,1.28967,103.85007
Singapore,Singapore,1.28967,103.85007
Singapore,Singapore,1.28967,103.85007
Singapore,Singapore,1.28967,103.85007
Singapore,Singapore,1.28967,103.85007
Singapore,Singapore,1.28967,103.85007
Singapore,Singapore,1.28967,103.85007
Singapore,Singapore,1.28967,103.85007
Singapore,Singapore,1.28967,103.85007
Singapore,Singapore,1.28967,103.85007
Singapore,Singapore,1.28967,103.85007
Singapore,Singapore,1.28967,103.85007
Singapore,Singapore,1.28967,103.85007
Singapore,Singapore,1.28967,103.85007
Singapore,Singapore,1.28967,103.85007
Singapore,Singapore,1.28967,103.85007
Singapore,Singapore,1.28967,103.85007
Singapore,Singapore,1.28967,103.85007
Singapore,Singapore,1.28967,103.85007
SINGAPORE,Singapore,1.28967,103.85007
Singapore,Singapore,1.28967,103.85007
Singapore,Singapore,1.28967,103.85007
Singapore,Singapore,1.28967,103.85007
Singapore,Singapore,1.28967,103.85007
Singapore,Singapore,1.28967,103.85007
Singapore,Singapore,1.28967,103.85007
Singapore,Singapore,1.28967,103.85007
Singapore,Singapore,1.28967,103.85007
"Riyadh, KSA",Saudi Arabia,,
Mecca,Saudi Arabia,21.42667,39.82611
Riyadh,Saudi Arabia,24.68773,46.72185
Riyadh,Saudi Arabia,24.68773,46.72185
RYIADH,Saudi Arabia,,
Jeddah,Saudi Arabia,21.51694,39.21917
Jeddah,Saudi Arabia,21.51694,39.21917
Jeddah,Saudi Arabia,21.51694,39.21917
Jeddah,Saudi Arabia,21.51694,39.21917
Jeddah,Saudi Arabia,21.51694,39.21917
Makkah,Saudi Arabia,,
Dhahran,Saudi Arabia,26.30324,50.13528
"DHAHRAN, EASTREN PRO",Saudi Arabia,,
Dhahran,Saudi Arabia,26.30324,50.13528
"Dammam, AM",Saudi Arabia,,
"Jeddah, Western Reg",Saudi Arabia,,
Dhahran,Saudi Arabia,26.30324,50.13528
"Buraidah, Al-Qassim",Saudi Arabia,,
Riyadh,Saudi Arabia,24.68773,46.72185
Jeddah,Saudi Arabia,21.51694,39.21917
Riyadh,Saudi Arabia,24.68773,46.72185
Jeddah,Saudi Arabia,21.51694,39.21917
Jeddah,Saudi Arabia,21.51694,39.21917
Riyadh,Saudi Arabia,24.68773,46.72185
Riyadh,Saudi Arabia,24.68773,46.72185
Riyadh,Saudi Arabia,24.68773,46.72185
Safwa,Saudi Arabia,26.64986,49.95223
Riyadh,Saudi Arabia,24.68773,46.72185
Dhahran,Saudi Arabia,26.30324,50.13528
Bisha,Saudi Arabia,,
Dhahran,Saudi Arabia,26.30324,50.13528
Riyadh,Saudi Arabia,24.68773,46.72185
Makkah,Saudi Arabia,,
Makkah,Saudi Arabia,,
Makkah,Saudi Arabia,,
Riyadh,Saudi Arabia,24.68773,46.72185
Dhahran,Saudi Arabia,26.30324,50.13528
Dammam,Saudi Arabia,,
Riyadh,Saudi Arabia,24.68773,46.72185
Apia,Samoa,-13.83333,-171.76666
Moscow,Russian Federation,55.75222,37.61556
Moscow,Russian Federation,55.75222,37.61556
Moscow,Russian Federation,55.75222,37.61556
Smolensk,Russian Federation,54.7818,32.0401
Smolensk,Russian Federation,54.7818,32.0401
Moscow,Russian Federation,55.75222,37.61556
St. Petersburg,Russian Federation,,
Moscow,Russian Federation,55.75222,37.61556
Moscow,Russian Federation,55.75222,37.61556
Kazan,Russian Federation,55.78874,49.12214
Pushchino,Russian Federation,54.83373,37.61138
Moscow,Russian Federation,55.75222,37.61556
Saint-Petersburg,Russian Federation,,
Samara,Russia,53.20006,50.15
Saint-Petersburg,Russia,,
Gatchina,Russia,59.57639,30.12833
Moscow,Russia,55.75222,37.61556
Moscow,Russia,55.75222,37.61556
Moscow,Russia,55.75222,37.61556
Ploiesti,Romania,44.95,26.01667
Bucharest,Romania,44.43225,26.10626
Bucharest,Romania,44.43225,26.10626
Cluj-Napoca,Romania,46.76667,23.6
Bucharest,Romania,44.43225,26.10626
Bucharest,Romania,44.43225,26.10626
Timisoara,Romania,45.75372,21.22571
Targu-Jiu,Romania,,
Doha,Qatar,25.27932,51.52245
Doha,Qatar,25.27932,51.52245
Doha,Qatar,25.27932,51.52245
Caguas,Puerto Rico,18.23412,-66.0485
Lisboa,Portugal,38.71667,-9.13333
Lisbon,Portugal,38.71667,-9.13333
Lisbon,Portugal,38.71667,-9.13333
Lisbon,Portugal,38.71667,-9.13333
Lisbon,Portugal,38.71667,-9.13333
Lisboa,Portugal,38.71667,-9.13333
Lisbon,Portugal,38.71667,-9.13333
Lisbon,Portugal,38.71667,-9.13333
Lisboa,Portugal,38.71667,-9.13333
Lisbon,Portugal,38.71667,-9.13333
Lisbon,Portugal,38.71667,-9.13333
Lisbon,Portugal,38.71667,-9.13333
Entroncamento,Portugal,39.46667,-8.46667
Lisboa,Portugal,38.71667,-9.13333
Oeiras,Portugal,,
Coimbra,Portugal,40.20564,-8.41955
Cantanhede,Portugal,40.34671,-8.5942
Condeixa-a-Nova,Portugal,,
Porto,Portugal,41.14961,-8.61099
Porto,Portugal,41.14961,-8.61099
Porto,Portugal,41.14961,-8.61099
Porto,Portugal,41.14961,-8.61099
Carreco,Portugal,,
Faro,Portugal,37.01937,-7.93223
Lisboa,Portugal,38.71667,-9.13333
Alcabideche-Cascais,Portugal,,
Lisbon,Portugal,38.71667,-9.13333
Porto,Portugal,41.14961,-8.61099
Coimbra,Portugal,40.20564,-8.41955
Lisboa,Portugal,38.71667,-9.13333
Lisboa,Portugal,38.71667,-9.13333
Figueiro da Serra,Portugal,,
Lisboa,Portugal,38.71667,-9.13333
Warszawa,Poland,,
Warszawa,Poland,,
Warsaw,Poland,52.22977,21.01178
"Warszawa, W.Mazowie",Poland,,
"Warszawa, Mazowieckie",Poland,,
"Warsaw, Mazowieckie",Poland,,
Warszawa,Poland,,
Warsaw,Poland,52.22977,21.01178
Warszawa,Poland,,
Warsaw,Poland,52.22977,21.01178
Warsaw,Poland,52.22977,21.01178
"Warsaw, MAZ",Poland,,
Warszawa,Poland,,
Wroclaw,Poland,51.1,17.03333
Poznan,Poland,52.40692,16.92993
Poznan,Poland,52.40692,16.92993
17-230  Bialowieza,Poland,,
Warsaw,Poland,52.22977,21.01178
Warszawa,Poland,,
Krakow,Poland,50.06143,19.93658
"Ermita, Manila",Philippines,,
Manila,Philippines,14.6042,120.9822
Quezon City,Philippines,14.6488,121.0509
Metro Manila,Philippines,,
Cebu,Philippines,,
Cebu,Philippines,,
Metro Manila,Philippines,,
Los Ba??os,Philippines,,
Los Banos,Philippines,14.1798,121.2234
"Lima, Pueblo Libre Li",Peru,,
Lima,Peru,-12.04318,-77.02824
Lima,Peru,-12.04318,-77.02824
Lima,Peru,-12.04318,-77.02824
Lima,Peru,-12.04318,-77.02824
Lima,Peru,-12.04318,-77.02824
Lima,Peru,-12.04318,-77.02824
Lima,Peru,-12.04318,-77.02824
LIMA,Peru,-12.04318,-77.02824
Capital,Paraguay,,
Lae,Papua New Guinea,-6.72208,146.98469
Panama,Panama,8.9936,-79.51973
Panama,Panama,8.9936,-79.51973
Islamabad,Pakistan,33.72148,73.04329
"Islamabad, ICT",Pakistan,,
"Lahore, Punjab",Pakistan,,
Karachi,Pakistan,24.9056,67.0822
Lahore,Pakistan,31.54972,74.34361
Lahore,Pakistan,31.54972,74.34361
Abbottabad,Pakistan,34.14685,73.21449
Karachi,Pakistan,24.9056,67.0822
Karachi,Pakistan,24.9056,67.0822
Muscat,Oman,23.61387,58.5922
Sohar,Oman,,
Muscat,Oman,23.61387,58.5922
Oslo,Norway,59.91273,10.74609
Oslo,Norway,59.91273,10.74609
Oslo,Norway,59.91273,10.74609
Oslo,Norway,59.91273,10.74609
Oslo,Norway,59.91273,10.74609
Oslo,Norway,59.91273,10.74609
Oslo,Norway,59.91273,10.74609
Oslo,Norway,59.91273,10.74609
Oslo,Norway,59.91273,10.74609
Oslo,Norway,59.91273,10.74609
Oslo,Norway,59.91273,10.74609
Drobak,Norway,59.66333,10.62975
"Fjerdingby, Akershus",Norway,,
Lillehammer,Norway,61.11514,10.46628
Hafrsfjord,Norway,,
Sandnes,Norway,58.85244,5.73521
Mandal,Norway,58.0274,7.45342
Kristiansand,Norway,58.14671,7.9956
"Bergen, Hordaland",Norway,,
"Bergen, Hordaland",Norway,,
Bergen,Norway,60.39299,5.32415
Bergen,Norway,60.39299,5.32415
"Bergen, Fana",Norway,,
Norheimsund,Norway,60.37089,6.14562
"Trondheim, NO",Norway,,
Trondheim,Norway,63.43049,10.39506
Tromsoe,Norway,,
Oslo,Norway,59.91273,10.74609
Oslo,Norway,59.91273,10.74609
Oslo,Norway,59.91273,10.74609
Oslo,Norway,59.91273,10.74609
Oslo,Norway,59.91273,10.74609
N-1411 Kolbotn,Norway,,
Lorenskog,Norway,,
Bergen,Norway,60.39299,5.32415
Bergen,Norway,60.39299,5.32415
Tromso,Norway,69.6489,18.95508
Kval??ya,Norway,,
Tromso,Norway,69.6489,18.95508
Blindern,Norway,,
Fetsund,Norway,59.92898,11.16247
Bergen,Norway,60.39299,5.32415
Oslo,Norway,59.91273,10.74609
Bergen,Norway,60.39299,5.32415
Fannrem,Norway,,
Oslo,Norway,59.91273,10.74609
Oslo,Norway,59.91273,10.74609
Bergen,Norway,60.39299,5.32415
Bergen,Norway,60.39299,5.32415
Oslo,Norway,59.91273,10.74609
Moss,Norway,59.43403,10.65771
Bergen,Norway,60.39299,5.32415
Oslo,Norway,59.91273,10.74609
Bergen,Norway,60.39299,5.32415
Moss,Norway,59.43403,10.65771
Stavanger,Norway,58.97005,5.73332
Hafrsfjord,Norway,,
Troms??,Norway,,
Bergen,Norway,60.39299,5.32415
MOSS,Norway,59.43403,10.65771
Moss,Norway,59.43403,10.65771
Bergen,Norway,60.39299,5.32415
Bodoe,Norway,,
Moss,Norway,59.43403,10.65771
Moss,Norway,59.43403,10.65771
Moss,Norway,59.43403,10.65771
Moss,Norway,59.43403,10.65771
Moss,Norway,59.43403,10.65771
Bergen,Norway,60.39299,5.32415
Port Harcourt,Nigeria,4.77742,7.0134
Lagos,Nigeria,6.45306,3.39583
Lagos,Nigeria,6.45306,3.39583
"Maiduguri, Borno",Nigeria,,
Sokoto,Nigeria,13.06092,5.23902
Kano,Nigeria,12.00012,8.51672
Kaduna,Nigeria,10.52224,7.43828
Lagos,Nigeria,6.45306,3.39583
Managua,Nicaragua,12.13282,-86.2504
Ciudad Dandino,Nicaragua,,
Auckland,New Zealand,-36.86667,174.76667
Auckland,New Zealand,-36.86667,174.76667
Auckland,New Zealand,-36.86667,174.76667
Auckland,New Zealand,-36.86667,174.76667
Auckland,New Zealand,-36.86667,174.76667
Auckland,New Zealand,-36.86667,174.76667
Auckaldn,New Zealand,,
Auckland,New Zealand,-36.86667,174.76667
Auckland,New Zealand,-36.86667,174.76667
Auckland,New Zealand,-36.86667,174.76667
Auckland,New Zealand,-36.86667,174.76667
Tauranga,New Zealand,-37.68611,176.16667
"Hamilton, Waikato",New Zealand,,
"Hamilton, Waikato",New Zealand,,
"Wellington, Petone",New Zealand,,
Upper Hutt,New Zealand,-41.13827,175.0502
Palmerston North,New Zealand,-40.35636,175.61113
Manawatu,New Zealand,,
Wellington,New Zealand,-41.28664,174.77557
North Island,New Zealand,,
Wellington,New Zealand,-41.28664,174.77557
Wellington,New Zealand,-41.28664,174.77557
Wellington,New Zealand,-41.28664,174.77557
Wellington,New Zealand,-41.28664,174.77557
"Wellington, New",New Zealand,,
Wellington,New Zealand,-41.28664,174.77557
Wellington,New Zealand,-41.28664,174.77557
Twizel,New Zealand,,
Lincoln,New Zealand,-43.65,172.48333
Christchurch,New Zealand,-43.53333,172.63333
Lyttelton,New Zealand,,
Christchurch,New Zealand,-43.53333,172.63333
Christchurch,New Zealand,-43.53333,172.63333
"Christchurch, Canterb",New Zealand,,
"Christchurch, Canterb",New Zealand,,
"Dunedin, Otago",New Zealand,,
Auckland 1142,New Zealand,,
Christchurch,New Zealand,-43.53333,172.63333
Dunedin,New Zealand,-45.87416,170.50361
Wellington,New Zealand,-41.28664,174.77557
Wellington,New Zealand,-41.28664,174.77557
Auckland,New Zealand,-36.86667,174.76667
Auckland,New Zealand,-36.86667,174.76667
Auckland,New Zealand,-36.86667,174.76667
Wellington,New Zealand,-41.28664,174.77557
Titirangi,New Zealand,-36.93754,174.65584
Wellington,New Zealand,-41.28664,174.77557
Wellington,New Zealand,-41.28664,174.77557
Auckland,New Zealand,-36.86667,174.76667
Christchurch,New Zealand,-43.53333,172.63333
Manukau,New Zealand,,
Auckland,New Zealand,-36.86667,174.76667
Wellington,New Zealand,-41.28664,174.77557
Auckland,New Zealand,-36.86667,174.76667
Auckland,New Zealand,-36.86667,174.76667
Queenstown,New Zealand,-45.03023,168.66271
Auckland,New Zealand,-36.86667,174.76667
Wellington,New Zealand,-41.28664,174.77557
Auckland,New Zealand,-36.86667,174.76667
Auckland,New Zealand,-36.86667,174.76667
Noumea cedex,New Caledonia,,
Amsterdam,Netherlands,52.37403,4.88969
Amsterdam,Netherlands,52.37403,4.88969
Amsterdam,Netherlands,52.37403,4.88969
Amsterdam,Netherlands,52.37403,4.88969
"Amsterdam, NH",Netherlands,,
Diemen,Netherlands,52.33964,4.96256
Amstelveen,Netherlands,52.30083,4.86389
Leiden,Netherlands,52.15833,4.49306
Leiden,Netherlands,52.15833,4.49306
Den Haag,Netherlands,52.07667,4.29861
Rotterdam,Netherlands,51.9225,4.47917
Rotterdam,Netherlands,51.9225,4.47917
Utrecht,Netherlands,52.09083,5.12222
Utrecht,Netherlands,52.09083,5.12222
Utrecht,Netherlands,52.09083,5.12222
Baarn,Netherlands,52.21167,5.2875
"Amersfoort, Utrecht",Netherlands,,
Den Bosch,Netherlands,,
Rosmalen,Netherlands,,
"Oss, Noord-Brabant",Netherlands,,
Meerssen,Netherlands,50.8875,5.75
"Heerlen, Limburg",Netherlands,,
Nijmegen,Netherlands,51.8425,5.85278
Nijmegen,Netherlands,51.8425,5.85278
Wageningen,Netherlands,51.97,5.66667
Groningen,Netherlands,53.21917,6.56667
Groningen,Netherlands,53.21917,6.56667
"Amsterdam, Noord-Holl",Netherlands,,
Utrecht,Netherlands,52.09083,5.12222
DT Harlingen,Netherlands,,
Amsterdam,Netherlands,52.37403,4.88969
Amsterdam,Netherlands,52.37403,4.88969
Amsterdam,Netherlands,52.37403,4.88969
"Amsterdam, THE",Netherlands,,
Amsterdam,Netherlands,52.37403,4.88969
Amsterdam,Netherlands,52.37403,4.88969
Wijk aan Zee,Netherlands,,
Leiden,Netherlands,52.15833,4.49306
The Hague,Netherlands,52.07667,4.29861
"The Hague, ZH",Netherlands,,
Den Haag,Netherlands,52.07667,4.29861
The Hague,Netherlands,52.07667,4.29861
"The Hague, Zuid-Holla",Netherlands,,
Rotterdam,Netherlands,51.9225,4.47917
Rotterdam Zuid Holland,Netherlands,,
Hellevoetsluis,Netherlands,51.83333,4.13333
Utrecht,Netherlands,52.09083,5.12222
Utrecht,Netherlands,52.09083,5.12222
Utrecht,Netherlands,52.09083,5.12222
Utrecht,Netherlands,52.09083,5.12222
Utrecht,Netherlands,52.09083,5.12222
Utrecht,Netherlands,52.09083,5.12222
Utrecht,Netherlands,52.09083,5.12222
Zeist,Netherlands,52.09,5.23333
Amersfoort,Netherlands,52.155,5.3875
"Houten, Utrecht",Netherlands,,
Etten-Leur,Netherlands,,
Eindhoven,Netherlands,51.44083,5.47778
Aarle-Rixtel,Netherlands,51.50976,5.63839
Maastricht,Netherlands,50.84833,5.68889
Maastricht,Netherlands,50.84833,5.68889
"Maastricht, The",Netherlands,,
Maastricht,Netherlands,50.84833,5.68889
"Maatricht, Limburg",Netherlands,,
Heerlen,Netherlands,50.88365,5.98154
"Heerlen, Limbury",Netherlands,,
Heerlen,Netherlands,50.88365,5.98154
Heerlen,Netherlands,50.88365,5.98154
"Heerlen, The",Netherlands,,
Nijmegen,Netherlands,51.8425,5.85278
"Wageningen, Gelderlan",Netherlands,,
Ede,Netherlands,52.03333,5.65833
Zwolle,Netherlands,52.5125,6.09444
Luinjeberd,Netherlands,,
Leeuwarden,Netherlands,53.20139,5.80859
Groningen,Netherlands,53.21917,6.56667
Groningen,Netherlands,53.21917,6.56667
Groningen,Netherlands,53.21917,6.56667
Groningen,Netherlands,53.21917,6.56667
Haren,Netherlands,53.17209,6.60931
Groningen,Netherlands,53.21917,6.56667
3500 Utrecht,Netherlands,,
Groningen 9712 TS,Netherlands,,
Haarlem NH 2037aa,Netherlands,,
,Netherlands,,
35 AS Utrecht,Netherlands,,
Amsterdam,Netherlands,52.37403,4.88969
Maastricht,Netherlands,50.84833,5.68889
Maastricht,Netherlands,50.84833,5.68889
Breda,Netherlands,51.58656,4.77596
Amsterdam,Netherlands,52.37403,4.88969
Amsterdam,Netherlands,52.37403,4.88969
Schoorl,Netherlands,,
Utrecht,Netherlands,52.09083,5.12222
Amsterdam,Netherlands,52.37403,4.88969
Amsterdam,Netherlands,52.37403,4.88969
Heerlen,Netherlands,50.88365,5.98154
Utrecht,Netherlands,52.09083,5.12222
Rotterdam,Netherlands,51.9225,4.47917
Rotterdam,Netherlands,51.9225,4.47917
Rotterdam,Netherlands,51.9225,4.47917
Utrecht,Netherlands,52.09083,5.12222
Den Haag,Netherlands,52.07667,4.29861
