"term","anger","anticipation","disgust","fear","joy","sadness","surprise","trust"
"delusion",1,0,0,1,0,1,0,0
"delusional",1,0,0,1,0,0,0,0
"delve",0,0,0,0,0,0,0,0
"demand",1,0,0,0,0,0,0,0
"demanding",0,0,0,0,0,0,0,0
"demeanor",0,0,0,0,0,0,0,0
"demented",0,0,0,1,0,0,0,0
"dementia",0,0,0,1,0,1,0,0
"demise",0,0,0,1,0,1,0,0
"democracy",0,0,0,0,0,0,0,0
"democrat",0,0,0,0,0,0,0,0
"demolish",1,0,0,0,0,1,0,0
"demolition",0,0,0,0,0,0,0,0
"demon",1,0,1,1,0,1,0,0
"demonic",1,0,1,1,0,1,0,0
"demonstrable",0,0,0,0,0,0,0,0
"demonstrate",0,0,0,0,0,0,0,0
"demonstrated",0,0,0,0,0,0,0,0
"demonstrating",0,0,0,0,0,0,0,0
"demonstration",0,0,0,0,0,0,0,0
"demonstrative",0,0,0,0,1,1,0,0
"demonstrator",0,0,0,0,0,0,0,0
"demoralized",0,0,0,1,0,1,0,0
"demos",0,0,0,0,0,0,0,0
"den",0,0,0,0,0,0,0,0
"denial",0,0,0,0,0,0,0,0
"denied",0,0,0,0,0,1,0,0
"denomination",0,0,0,0,0,0,0,0
"denominational",0,0,0,0,0,0,0,0
"denominator",0,0,0,0,0,0,0,0
"denote",0,0,0,0,0,0,0,0
"denounce",1,0,1,0,0,0,0,0
"dense",0,0,0,0,0,0,0,0
"density",0,0,0,0,0,0,0,0
"dent",0,0,0,0,0,0,0,0
"dentistry",0,0,0,1,0,0,0,0
"denunciation",1,0,1,1,0,0,0,0
"deny",1,0,0,0,0,0,0,0
"denying",0,1,0,0,0,0,0,0
"deodorant",0,0,0,0,0,0,0,0
"depart",0,1,0,0,0,1,0,0
"departed",0,0,0,0,0,1,0,0
"department",0,0,0,0,0,0,0,0
"departure",0,0,0,0,0,1,0,0
"depend",0,1,0,0,0,0,0,1
"dependant",0,0,0,0,0,0,0,0
"dependence",0,0,0,1,0,1,0,0
"dependency",0,0,0,0,0,0,0,0
"dependent",0,0,0,0,0,0,0,1
"depict",0,0,0,0,0,0,0,0
"depicting",0,0,0,0,0,0,0,0
"depletion",0,0,0,0,0,0,0,0
"deplorable",1,0,1,1,0,1,0,0
"deplore",1,0,1,0,0,1,0,0
"deploy",0,0,0,0,0,0,0,0
"deport",0,0,0,1,0,1,0,0
"deportation",1,0,0,1,0,1,0,0
"deposit",0,0,0,0,0,0,0,0
"depositary",0,0,0,0,0,0,0,0
"deposition",0,0,0,0,0,0,0,0
"depository",0,0,0,0,0,0,0,1
"depot",0,0,0,0,0,0,0,0
"depraved",1,1,1,1,0,1,0,0
"depravity",1,0,1,0,0,0,0,0
"depreciate",1,0,1,0,0,0,0,0
"depreciated",1,0,1,1,0,1,0,0
"depreciation",0,0,0,1,0,0,0,0
"depress",0,0,0,1,0,1,0,0
"depressed",1,0,0,1,0,1,0,0
"depressing",0,0,1,0,0,1,0,0
"depression",0,0,0,0,0,1,0,0
"depressive",0,0,0,0,0,1,0,0
"deprivation",1,0,1,1,0,1,0,0
"depth",0,0,0,0,0,0,0,1
"deputy",0,0,0,0,0,0,0,1
"derail",0,0,0,0,0,0,0,0
"deranged",1,0,1,1,0,0,0,0
"derelict",0,0,0,0,0,0,0,0
"derision",1,0,1,0,0,0,0,0
"derivation",0,0,0,0,0,0,0,0
"derivative",0,0,0,0,0,0,0,0
"derive",0,0,0,0,0,0,0,0
"dermal",0,0,0,0,0,0,0,0
"dermatologist",0,0,0,0,0,0,0,1
"dermatology",0,0,0,0,0,0,0,0
"derogation",1,0,1,1,0,1,0,0
"derogatory",1,0,1,1,0,1,0,0
"descend",0,0,0,0,0,0,0,0
"descendant",0,0,0,0,0,0,0,0
"descendent",0,0,0,0,0,0,0,0
"descending",0,0,0,0,0,0,0,0
"descent",0,0,0,1,0,1,0,0
"describe",0,0,0,0,0,0,0,0
"description",0,0,0,0,0,0,0,0
"descriptive",0,0,0,0,0,0,0,0
"desecration",1,0,1,1,0,1,0,0
"desert",1,0,1,1,0,1,0,0
"deserted",1,0,1,1,0,1,0,0
"desertion",0,0,0,0,0,0,0,0
"deserve",1,1,0,0,0,0,0,1
"deserved",0,0,0,0,0,0,0,0
"deserving",0,0,0,0,0,0,0,0
"design",0,0,0,0,0,0,0,0
"designate",0,0,0,0,0,0,0,0
"designation",0,0,0,0,0,0,0,1
"designed",0,0,0,0,0,0,0,0
"designer",0,0,0,0,0,0,0,0
"designing",0,0,0,0,0,0,0,0
"desirability",0,0,0,0,0,0,0,0
"desirable",0,0,0,0,0,0,0,0
"desiring",0,0,0,0,0,0,0,0
"desirous",0,0,0,0,0,0,0,0
"desist",1,0,1,0,0,0,0,0
"desk",0,0,0,0,0,0,0,0
"desolation",0,0,0,1,0,1,0,0
"despair",1,0,1,1,0,1,0,0
"despairing",0,0,0,1,0,1,0,0
"despatch",0,0,0,0,0,0,0,0
"desperate",0,0,0,0,0,0,0,0
"desperation",0,0,0,0,0,0,0,0
"despicable",1,0,1,0,0,0,0,0
"despise",1,0,1,0,0,0,0,0
"despotic",0,0,0,1,0,0,0,0
"despotism",1,0,1,1,0,1,0,0
"dessert",0,0,0,0,0,0,0,0
"destination",0,1,0,1,1,1,1,0
"destined",0,1,0,0,0,0,0,0
"destiny",0,0,0,0,0,0,0,0
"destitute",0,0,0,1,0,1,0,0
"destroyed",1,0,0,1,0,1,0,0
"destroyer",1,0,0,1,0,0,0,0
"destroying",1,0,0,1,0,1,0,0
"destruction",1,0,0,0,0,0,0,0
"destructive",1,0,1,1,0,0,0,0
"detach",0,0,0,0,0,0,0,0
"detached",0,0,0,0,0,0,0,0
"detachment",0,0,0,0,0,0,0,0
"detail",0,0,0,0,0,0,0,0
"details",0,0,0,0,0,0,0,0
"detain",0,0,0,0,0,0,0,0
"detainee",1,1,0,1,0,1,0,0
"detect",0,0,0,0,0,0,0,0
"detectable",0,0,0,0,0,0,0,0
"detection",0,0,0,0,0,0,0,0
"detective",0,0,0,0,0,0,0,0
"detector",0,0,0,0,0,0,0,0
"detention",0,0,0,0,0,1,0,0
"deter",0,0,0,0,0,0,0,0
"detergent",0,0,0,0,0,0,0,0
"deteriorate",0,0,0,1,0,1,0,0
"deteriorated",0,0,1,0,0,1,0,0
"deterioration",1,0,1,1,0,1,0,0
"determinable",0,0,0,0,0,0,0,0
"determinate",0,1,0,0,0,0,0,1
"determination",0,0,0,0,0,0,0,1
"determined",0,0,0,0,0,0,0,0
"detest",1,0,1,0,0,0,0,0
"detonate",0,0,0,1,0,0,1,0
"detonation",1,0,0,0,0,0,0,0
"detour",0,0,0,0,0,0,0,0
"detract",1,0,0,0,0,0,0,0
"detriment",0,0,0,0,0,0,0,0
"detrimental",0,0,0,0,0,0,0,0
"detritus",0,0,0,0,0,0,0,0
"deuce",0,0,0,0,0,0,0,0
"devastate",1,0,0,1,0,1,0,0
"devastating",1,0,1,1,0,1,0,1
"devastation",1,0,0,1,0,1,1,0
"develop",0,1,0,0,0,0,0,0
"developing",0,0,0,0,0,0,0,0
"development",0,0,0,0,0,0,0,0
"deviate",0,0,0,0,0,0,0,0
"deviating",0,0,0,0,0,0,0,0
"deviation",0,0,0,0,0,1,0,0
"device",0,0,0,0,0,0,0,0
"devil",1,1,1,1,0,1,0,0
"devilish",0,0,1,1,0,0,0,0
"devious",0,0,0,0,0,0,0,0
"devise",0,0,0,0,0,0,0,0
"devoid",0,0,0,0,0,0,0,0
"devolution",0,0,0,0,0,0,0,0
"devolve",0,0,0,0,0,0,0,0
"devote",0,0,0,0,0,0,0,0
"devotee",0,0,0,0,0,0,0,0
"devotional",0,0,0,0,0,0,0,1
"devour",0,0,0,0,0,0,0,0
"devout",0,1,0,0,1,0,0,1
"dew",0,0,0,0,0,0,0,0
"dexter",0,0,0,0,0,0,0,0
"dexterity",0,0,0,0,0,0,0,0
"dextrose",0,0,0,0,0,0,0,0
"diabolical",1,0,1,1,0,0,0,0
"diagnosis",0,1,0,1,0,0,0,1
"diagnostic",0,0,0,0,0,0,0,0
"diagnostics",0,0,0,0,0,0,0,0
"diagram",0,0,0,0,0,0,0,0
"dial",0,0,0,0,0,0,0,0
"dialect",0,0,0,0,0,0,0,0
"dialectic",0,0,0,0,0,0,0,0
"dialogue",0,0,0,0,0,0,0,0
"diameter",0,0,0,0,0,0,0,0
"diamond",0,0,0,0,1,0,0,0
"diamonds",0,0,0,0,0,0,0,0
"diaper",0,0,1,0,0,0,0,0
"diaphragm",0,0,0,0,0,0,0,0
"diarrhoea",0,0,1,0,0,0,0,0
"diary",0,0,0,0,1,0,0,1
"diatribe",1,0,1,0,0,0,0,0
"dice",0,0,0,0,0,0,0,0
"dichotomous",0,0,0,0,0,0,0,0
"dichotomy",0,0,0,0,0,0,0,0
"dictate",0,0,0,0,0,0,0,0
"dictation",0,0,0,0,0,0,0,0
"dictator",0,0,0,1,0,0,0,0
"dictatorial",1,0,0,0,0,0,0,0
"dictatorship",1,1,1,1,0,1,0,0
"diction",0,0,0,0,0,0,0,0
"dictionary",0,0,0,0,0,0,0,1
"dictum",0,0,0,0,0,0,0,1
"didactic",0,0,0,0,0,0,0,0
"die",0,0,0,1,0,1,0,0
"diet",0,0,0,0,0,0,0,0
"dietary",0,1,0,0,0,0,0,0
"differ",0,0,0,0,0,0,0,0
"difference",0,0,0,0,0,0,0,0
"differences",0,0,0,0,0,0,0,0
"differential",0,0,0,0,0,0,0,1
"differentiation",0,0,0,0,0,0,0,0
"differently",0,0,0,0,0,0,1,0
"differing",0,0,0,0,0,0,0,0
"difficult",0,0,0,1,0,0,0,0
"difficulties",0,0,0,0,0,1,0,0
"difficulty",1,0,0,1,0,1,0,0
"diffuse",0,0,0,0,0,0,0,0
"diffusion",0,0,0,0,0,0,0,0
"dig",0,0,0,0,0,0,0,0
"digest",0,0,0,0,0,0,0,0
"digestion",0,0,0,0,0,0,0,0
"digit",0,0,0,0,0,0,0,1
"dignified",0,0,0,0,0,0,0,0
"dignity",0,0,0,0,0,0,0,1
"digress",0,1,0,0,0,0,0,0
"digs",0,0,0,0,0,0,0,0
"dike",0,0,0,1,0,0,0,0
"dilapidated",0,0,1,0,0,1,0,0
"dilatation",0,0,0,0,0,0,0,0
"dilation",0,0,0,0,0,0,0,0
"dilemma",0,0,0,0,0,0,0,0
"diligence",0,0,0,0,0,0,0,1
"diligent",0,0,0,0,0,0,0,0
"diluent",0,0,0,0,0,0,0,0
"dilute",0,0,0,0,0,0,0,0
"diluted",0,0,0,0,0,0,0,0
"dilution",0,0,0,0,0,0,0,0
"dime",0,0,0,0,0,0,0,0
"dimension",0,0,0,0,0,0,0,0
"diminish",0,0,0,0,0,1,0,0
"diminished",0,0,0,0,0,0,0,0
"diminution",0,0,0,0,0,0,0,0
"diminutive",0,0,0,0,0,0,0,0
"din",0,0,0,0,0,0,0,0
"dine",0,0,0,0,0,0,0,0
"diner",0,0,0,0,0,0,0,0
"dinner",0,0,0,0,0,0,0,0
"dinosaur",0,0,0,1,0,0,0,0
"dint",0,0,0,0,0,0,0,0
"diocesan",0,0,0,0,0,0,0,0
"diocese",0,0,0,0,0,0,0,0
"diorama",0,0,0,0,0,0,0,0
"dip",0,0,0,0,0,0,0,0
"diploma",0,0,0,0,0,0,0,0
"diplomacy",0,1,0,0,0,0,0,1
"diplomat",0,0,0,0,0,0,0,0
"diplomatic",0,0,0,0,0,0,0,1
"dire",0,0,1,1,0,1,1,0
"directed",0,0,0,0,0,0,0,0
"direction",0,0,0,0,0,0,0,0
"directly",0,0,0,0,0,0,0,0
"director",0,0,0,0,0,0,0,1
"directory",0,0,0,0,0,0,0,0
"dirt",0,0,1,0,0,0,0,0
"dirty",0,0,1,0,0,0,0,0
"disability",0,0,0,0,0,1,0,0
"disable",0,0,0,1,0,1,0,0
"disabled",0,0,0,1,0,1,0,0
"disadvantage",0,0,0,0,0,0,0,0
"disaffected",0,0,0,0,0,0,0,0
"disagree",1,0,0,0,0,0,0,0
"disagreeable",0,0,0,0,0,0,0,0
"disagreeing",1,0,0,0,0,1,0,0
"disagreement",1,0,0,0,0,1,0,0
"disallow",0,0,0,0,0,0,0,0
"disallowed",1,0,1,1,0,1,0,0
"disappear",0,0,0,1,0,0,0,0
"disappearance",0,0,0,0,0,0,0,0
"disappearing",0,0,0,0,0,0,0,0
"disappoint",1,0,1,0,0,1,0,0
"disappointed",1,0,1,0,0,1,0,0
"disappointing",0,0,0,0,0,1,0,0
"disappointment",0,0,1,0,0,1,0,0
"disapproval",0,0,0,0,0,1,0,0
"disapprove",1,0,1,1,0,1,0,0
"disapproved",1,0,0,0,0,1,0,0
"disapproving",1,0,1,0,0,1,0,0
"disarm",0,0,0,0,0,0,0,0
"disarray",0,0,0,0,0,0,0,0
"disaster",1,0,1,1,0,1,1,0
"disastrous",1,0,0,1,0,1,0,0
"disband",0,0,0,0,0,0,0,0
"disbelief",0,0,0,0,0,0,0,0
"disbelieve",0,0,0,0,0,0,0,0
"disburse",0,0,0,0,0,0,0,0
"disbursement",0,0,0,0,0,0,0,0
"disc",0,0,0,0,0,0,0,0
"discarded",0,0,0,0,0,0,0,0
"discards",0,0,0,0,0,0,0,0
"discern",0,0,0,0,0,0,0,0
"discernible",0,0,0,0,0,0,0,0
"discerning",0,0,0,0,0,0,0,0
"discernment",0,0,0,0,0,0,0,0
"discharge",0,0,0,0,0,0,0,0
"disciple",0,0,0,0,0,0,0,1
"discipline",0,0,0,1,0,0,0,0
"disclaim",1,0,1,0,0,0,0,1
"disclaimer",0,0,0,0,0,0,0,0
"disclose",0,0,0,0,0,0,0,0
"disclosed",0,0,0,0,0,0,0,1
"disclosure",0,0,0,0,0,0,0,0
"discoloration",0,0,1,0,0,0,0,0
"discolored",0,0,1,0,0,1,0,0
"discomfort",0,0,0,0,0,1,0,0
"disconnect",0,0,0,0,0,1,0,0
"disconnected",0,0,0,0,0,1,0,0
"disconnection",0,0,0,0,0,0,0,0
"discontent",1,0,1,1,0,1,0,0
"discontinuance",0,0,0,0,0,0,0,0
"discontinue",0,0,0,0,0,0,0,0
"discontinuity",0,0,1,1,0,1,0,0
"discontinuous",0,0,0,0,0,0,0,0
"discord",1,0,1,0,0,0,0,0
"discount",0,0,0,0,0,0,0,0
"discounted",0,0,0,0,0,0,0,0
"discourage",0,0,0,1,0,1,0,0
"discouraged",0,0,0,0,0,0,0,0
"discouragement",0,0,0,0,0,0,0,0
"discourse",0,0,0,0,0,0,0,0
"discover",0,0,0,0,0,0,0,0
"discovery",0,0,0,0,0,0,0,0
"discredit",0,0,0,0,0,0,0,0
"discreet",0,1,0,0,0,0,0,0
"discrepancy",0,0,0,0,0,0,0,0
"discrete",0,0,0,0,0,0,0,0
"discretion",0,1,0,0,0,0,0,1
"discretionary",0,0,0,0,0,0,0,0
"discriminate",1,0,0,0,0,1,0,0
"discriminating",0,0,1,0,0,0,0,0
"discrimination",1,0,1,1,0,1,0,0
"discus",0,0,0,0,0,0,0,0
"discuss",0,0,0,0,0,0,0,0
"discussion",0,0,0,0,0,0,0,0
"disdain",1,0,1,0,0,0,0,0
"disease",1,0,1,1,0,1,0,0
"diseased",0,0,1,1,0,1,0,0
"disembodied",0,0,0,1,0,1,0,0
"disengage",0,0,0,0,0,0,0,0
"disengagement",0,0,0,0,0,0,0,0
"disfigured",1,0,1,1,0,1,0,0
"disgrace",1,0,1,0,0,1,0,0
"disgraced",1,0,1,0,0,1,0,0
"disgraceful",1,0,1,0,0,0,0,0
"disgruntled",1,0,1,0,0,1,0,0
"disguise",0,0,0,0,0,0,0,0
"disguised",0,0,0,0,0,0,0,0
"disgust",1,0,1,1,0,1,0,0
"disgusting",1,0,1,1,0,0,0,0
"dish",0,0,0,0,0,0,0,0
"disheartened",0,0,0,0,0,1,0,0
"disheartening",0,0,0,0,0,1,0,0
"dishonest",1,0,1,0,0,1,0,0
"dishonesty",0,0,1,0,0,0,0,0
"dishonor",1,0,1,1,0,1,0,0
"disillusionment",1,0,1,0,0,1,0,0
"disinfect",0,0,0,0,0,0,0,0
"disinfectant",0,0,0,0,0,0,0,0
"disinfection",0,0,0,0,0,0,0,0
"disinformation",1,0,0,1,0,0,0,0
"disingenuous",0,0,1,0,0,0,0,0
"disintegrate",0,0,1,1,0,0,0,0
"disintegration",0,0,0,0,0,0,0,0
"disinterested",0,0,0,0,0,0,0,0
"disjoint",0,0,0,0,0,0,0,0
"disjointed",0,0,0,0,0,0,0,0
"disjunctive",0,0,0,0,0,0,0,0
"disk",0,0,0,0,0,0,0,0
"diskette",0,0,0,0,0,0,0,0
"dislike",1,0,1,0,0,0,0,0
"disliked",1,0,0,0,0,1,0,0
"dislocated",1,0,1,1,0,1,0,0
"dislocation",0,0,0,0,0,0,0,0
"dislodge",0,0,0,0,0,0,0,0
"dismal",0,0,1,1,0,1,0,0
"dismay",1,1,0,1,0,1,1,0
"dismemberment",0,0,1,1,0,1,0,0
"dismiss",0,0,0,0,0,0,0,0
"dismissal",1,0,1,1,0,1,1,0
"dismount",0,0,0,0,0,0,0,0
"disobedience",1,0,1,0,0,0,0,0
"disobedient",1,0,0,0,0,0,0,0
"disobey",1,0,1,0,0,0,0,0
"disorder",0,0,0,1,0,0,0,0
"disorderly",0,0,0,0,0,0,0,0
"disorganized",0,0,0,0,0,0,0,0
"disparage",1,0,1,0,0,1,0,0
"disparaging",1,0,1,0,0,1,0,0
"disparate",0,0,0,0,0,0,0,0
"disparity",1,0,1,0,0,1,0,0
"dispassionate",0,0,0,0,0,1,0,0
"dispatch",0,0,0,0,0,0,0,0
"dispel",0,0,0,0,0,1,0,0
"dispensation",0,0,0,0,0,0,0,0
"dispense",0,0,0,0,0,0,0,0
"disperse",0,0,0,0,0,0,0,0
"dispersed",0,0,0,0,0,0,0,0
"dispersion",0,0,0,0,0,0,0,0
"displace",0,0,0,0,0,0,0,0
"displaced",1,0,0,1,0,1,0,0
"displacement",0,0,0,0,0,0,0,0
"display",0,0,0,0,0,0,0,0
"displeased",1,0,1,1,0,1,0,0
"displeasure",0,0,1,0,0,0,0,0
"disposal",0,0,0,0,0,0,0,0
"dispose",0,0,1,0,0,0,0,0
"disposed",0,1,0,0,0,0,0,1
"disposition",0,0,0,0,0,0,0,0
"dispossessed",1,0,0,1,0,1,0,0
"disprove",0,0,0,0,0,0,0,0
"dispute",1,0,0,0,0,0,0,0
"disqualification",0,0,0,0,0,0,0,0
"disqualified",1,0,1,0,0,1,0,0
"disqualify",0,0,0,0,0,1,0,0
"disregard",0,0,0,0,0,0,0,0
"disregarded",0,0,1,0,0,0,0,0
"disreputable",1,0,1,1,0,0,0,0
"disrepute",0,0,0,0,0,0,0,0
"disrespect",1,0,0,0,0,0,0,0
"disrespectful",1,0,1,1,0,1,0,0
"disruption",1,0,0,1,0,0,1,0
"dissatisfaction",0,0,0,0,0,0,0,0
"dissatisfied",0,0,0,0,0,0,0,0
"dissect",0,0,0,0,0,0,0,0
"dissection",0,0,1,0,0,0,0,0
"disseminate",0,0,0,0,0,0,0,0
"dissemination",0,0,0,0,0,0,0,0
"dissension",1,0,0,0,0,0,0,0
"dissent",0,0,0,0,0,0,0,0
"dissenting",0,0,0,0,0,0,0,0
"dissertation",0,0,0,0,0,0,0,0
"disservice",1,0,1,0,0,1,0,0
"dissident",1,0,0,1,0,0,0,0
"dissimilar",0,0,0,0,0,0,0,0
"dissipate",0,0,0,0,0,0,0,0
"dissipated",0,0,0,0,0,0,0,0
"dissociation",0,0,0,0,0,0,0,0
"dissolution",1,0,0,1,0,1,1,0
"dissolve",0,0,0,0,0,0,0,0
"dissonance",1,0,0,0,0,0,0,0
"dissuade",0,0,0,0,0,0,0,0
"distal",0,0,0,0,0,0,0,0
"distance",0,0,0,0,0,0,0,0
"distant",0,0,0,0,0,0,0,0
"distaste",0,0,1,0,0,0,0,0
"distasteful",0,0,1,0,0,0,0,0
"distillate",0,0,0,0,0,0,0,0
"distillation",0,0,0,0,0,0,0,0
"distinction",0,0,0,0,0,0,0,0
"distinctive",0,0,0,0,0,0,0,0
"distinguish",0,0,0,0,0,0,0,0
"distinguishable",0,0,0,0,0,0,0,0
"distinguished",0,0,0,0,0,0,0,0
"distinguishing",0,0,0,0,0,0,0,0
"distorted",0,0,1,0,0,0,0,0
"distortion",0,0,0,0,0,0,0,0
"distract",0,0,0,0,0,0,0,0
"distracted",1,0,0,0,0,0,0,0
"distracting",1,1,0,0,0,0,0,0
"distraction",0,0,0,0,0,0,0,0
"distraught",0,0,0,0,0,1,0,0
"distress",1,0,1,1,0,1,1,0
"distressed",0,0,0,1,0,0,0,0
"distressing",1,0,0,1,0,0,0,0
"distribute",0,0,0,0,0,0,0,0
"distribution",0,0,0,0,0,0,0,0
"district",0,0,0,0,0,0,0,0
"distrust",1,0,1,1,0,0,0,0
"disturbance",1,0,0,1,0,1,1,0
"disturbed",1,0,0,0,0,1,0,0
"disuse",0,0,0,0,0,0,0,0
"disused",1,0,0,0,0,0,0,0
"ditch",0,0,0,0,0,0,0,0
"ditto",0,0,0,0,0,0,0,0
"ditty",0,0,0,0,1,0,0,0
"diurnal",0,0,0,0,0,0,0,0
"divan",0,0,0,0,0,0,0,1
"dive",0,0,0,0,0,0,0,0
"diver",0,0,0,0,0,0,0,0
"diverge",0,0,0,0,0,0,0,0
"divergence",0,0,0,0,0,0,0,0
"divergent",0,0,0,0,0,0,1,0
"diverging",0,0,0,0,0,0,0,0
"divers",0,0,0,0,0,0,0,0
"diverse",0,0,0,0,0,0,0,0
"diversified",0,0,0,0,0,0,0,0
"diversify",0,0,0,0,0,0,0,0
"diversion",0,0,0,0,0,0,1,0
"diversity",0,0,0,0,0,0,0,0
"divert",0,0,0,0,0,0,0,0
"diverting",0,0,0,0,0,0,0,0
"divest",0,0,0,0,0,0,0,0
"divested",0,0,0,0,0,0,0,0
"divestment",0,0,0,0,0,0,0,0
"divide",0,0,0,0,0,0,0,0
"divided",0,0,0,0,0,0,0,0
"dividend",0,0,0,0,0,0,0,0
"divination",0,1,0,0,0,0,0,0
"divine",0,0,0,0,0,0,0,0
"divinity",0,0,0,0,0,0,0,0
"divisible",0,0,0,0,0,0,0,0
"division",0,0,0,0,0,0,0,0
"divisor",0,0,0,0,0,0,0,0
"divorce",1,0,1,1,0,1,1,1
"divulge",0,0,0,0,0,0,0,0
"dizziness",0,0,0,0,0,0,0,0
"dizzy",0,0,0,0,0,0,0,0
"docile",0,0,0,0,0,0,0,0
"dock",0,0,0,0,0,0,0,0
"docked",0,0,0,0,0,0,0,0
"docket",0,0,0,0,0,0,0,0
"doctor",0,0,0,0,0,0,0,1
"doctrinal",0,0,0,0,0,0,0,0
"doctrine",0,0,0,0,0,0,0,1
"document",0,0,0,0,0,0,0,0
"documentary",0,0,0,0,0,0,0,0
"dodge",0,0,0,0,0,0,0,0
"dodging",0,0,0,0,0,0,0,0
"doe",0,0,0,0,0,0,0,0
"doer",0,0,0,0,0,0,0,0
"dog",0,0,0,0,0,0,0,0
"dogged",0,0,0,0,0,0,0,0
"dogma",0,0,0,0,0,0,0,1
"dogmatic",0,0,0,0,0,0,0,0
"doings",0,0,0,0,0,0,0,0
"doit",0,0,0,0,0,0,0,0
"doldrums",0,0,0,0,0,1,0,0
"dole",0,0,0,0,0,1,0,0
"doll",0,0,0,0,1,0,0,0
"dollar",0,0,0,0,0,0,0,0
"dolor",0,0,0,0,0,1,0,0
"dolphin",0,0,0,0,1,0,1,1
"domain",0,0,0,0,0,0,0,0
"dome",0,0,0,0,0,0,0,0
"domestic",0,0,0,0,0,0,0,0
"domesticated",0,0,0,0,0,0,0,0
"domestication",0,0,0,0,0,0,0,0
"domicile",0,0,0,0,0,0,0,0
"domiciled",0,0,0,0,0,0,0,0
"dominance",0,0,0,0,0,0,0,0
"dominant",0,0,0,1,0,0,0,0
"dominate",1,0,0,1,0,0,0,0
"dominating",0,0,0,0,0,0,0,0
"domination",1,0,0,1,0,1,0,0
"dominion",0,0,0,1,0,0,0,1
"domino",0,0,0,0,0,0,0,0
"don",0,0,0,0,0,0,0,1
"donation",0,0,0,0,0,0,0,0
"donkey",0,0,1,0,0,0,0,0
"donor",0,0,0,0,0,0,0,0
"doodle",0,0,0,0,0,0,0,0
"doom",0,0,0,1,0,0,0,0
"doomed",0,0,0,1,0,1,0,0
"doomsday",1,1,1,1,0,1,0,0
"door",0,0,0,0,0,0,0,0
"doorbell",0,0,0,0,0,0,0,0
"doorway",0,0,0,0,0,0,0,0
"dormant",0,0,0,0,0,0,0,0
"dormitory",0,0,0,0,0,0,0,0
"dorsal",0,0,0,0,0,0,0,0
"dose",0,0,0,0,0,0,0,0
"dot",0,0,0,0,0,0,0,0
"double",0,0,0,0,0,0,0,0
"doubled",0,0,0,0,0,0,0,0
"doublet",0,0,0,0,0,0,0,0
"doubling",0,0,0,0,0,0,0,0
"doubt",0,0,0,1,0,1,0,1
"doubtful",0,0,0,0,0,0,0,0
"doubting",0,0,0,0,0,0,0,0
"doubtless",0,0,0,0,0,0,0,1
"douche",0,0,0,0,0,0,0,0
"dough",0,0,0,0,0,0,0,0
"doughnut",0,0,0,0,0,0,0,0
"dour",0,0,0,0,0,0,0,0
"dove",0,1,0,0,1,0,0,1
"downcast",0,0,0,0,0,0,0,0
"downfall",0,0,0,1,0,1,0,0
"downhill",0,0,0,0,0,0,0,0
"downpour",0,0,0,0,0,0,0,0
"downright",0,0,0,0,0,0,0,1
"downy",0,0,0,0,0,0,0,0
"dowry",0,0,0,0,0,0,0,0
"doze",0,0,0,0,0,0,0,0
"dozen",0,0,0,0,0,0,0,0
"drab",0,0,0,0,0,1,0,0
"draft",0,1,0,0,0,0,0,0
"drag",0,0,0,0,0,0,0,0
"dragon",0,0,0,1,0,0,0,0
"drain",0,0,0,0,0,0,0,0
"drainage",0,0,0,0,0,0,0,0
"drained",0,0,0,0,0,0,0,0
"drake",0,0,0,0,0,0,0,0
"drama",0,0,0,0,0,0,0,0
"dramatic",0,0,0,0,0,0,0,0
"drape",0,0,0,0,0,0,0,0
"drapery",0,0,0,0,0,0,0,0
"drastic",0,0,0,0,0,0,0,0
"draught",0,0,0,0,0,0,0,0
"draw",0,0,0,0,0,0,0,0
"drawback",0,0,0,0,0,0,0,0
"drawer",0,0,0,0,0,0,0,0
"drawers",0,0,0,0,0,0,0,0
"drawing",0,0,0,0,0,0,0,0
"dread",0,1,0,1,0,0,0,0
"dreadful",1,1,1,1,0,1,0,0
"dreadfully",0,0,1,1,0,1,1,0
"dream",0,0,0,0,0,0,0,0
"dreamer",0,0,0,0,0,0,0,0
"dreaming",0,0,0,0,0,0,0,0
"dreamy",0,0,0,0,0,0,0,0
"dreary",0,0,0,0,0,1,0,0
"dredge",0,0,0,0,0,0,0,0
"drenched",0,0,0,0,0,0,0,0
"dresser",0,0,0,0,0,0,0,0
"dribble",0,0,0,0,0,0,0,0
"dried",0,0,0,0,0,0,0,0
"drier",0,0,0,0,0,0,0,0
"drift",0,0,0,0,0,0,0,0
"drifted",0,0,0,0,0,0,0,0
"drill",0,0,0,0,0,0,0,0
"drink",0,0,0,0,0,0,0,0
"drinking",0,0,0,0,0,0,0,0
"drip",0,0,0,0,0,0,0,0
"dripping",0,0,0,0,0,0,0,0
"drivel",0,0,1,0,0,0,0,0
"driver",0,0,0,0,0,0,0,0
"driveway",0,0,0,0,0,0,0,0
"drizzle",0,0,0,0,0,0,0,0
"droll",0,0,0,0,0,0,0,0
"drone",0,0,0,0,0,0,0,0
"drool",0,0,1,0,0,0,0,0
"drooping",0,0,0,0,0,0,0,0
"drop",0,0,0,0,0,0,0,0
"droplet",0,0,0,0,0,0,0,0
"drought",0,0,0,0,0,0,0,0
"drove",0,0,0,0,0,0,0,0
"drown",0,0,0,1,0,1,0,0
